ID,Text,Comment
Knatte.Corner.DisplayName,Dekoration Ecke,-
Knatte.Corner.Description,Verpassen wir dem Deich Ecken.,-
Knatte.Corner.FlavorDescription,Ermöglicht jeglichen Wasserzufluss.,-
//,//,
Knatte.SQCorner.DisplayName,Dekoration Äußere Ecke,-
Knatte.SQCorner.Description,Verpassen wir dem Deich Ecken.,-
Knatte.SQCorner.FlavorDescription,Ermöglicht jeglichen Wasserzufluss.,-
//,//,
Knatte.Diagonal.DisplayName,Dekoration Diagonal,-
Knatte.Diagonal.Description,Verpassen wir dem Deich Diagonalen.,-
Knatte.Diagonal.FlavorDescription,Ermöglicht jeglichen Wasserzufluss.,-
//,//,
Knatte.DiagonalS.DisplayName,Dekoration Diagonal Seitenplattform,-
Knatte.DiagonalS.Description,Verpassen wir dem Deich Diagonalen und Plattformen.,-
Knatte.DiagonalS.FlavorDescription,Ermöglicht jeglichen Wasserzufluss.,-
//,//,
Knatte.DiagonalW.DisplayName,Deich Diagonal,-
Knatte.DiagonalW.Description,Verpassen wir dem Deich Diagonalen.,-
Knatte.DiagonalW.FlavorDescription,Stoppt jeglichen Wasserzufluss.,-
//,//,
Knatte.InvCorner.DisplayName,Dekoration Schräge Ecke,-
Knatte.InvCorner.Description,Verpassen wir dem Deich Abschrägungen und Ecken.,-
Knatte.InvCorner.FlavorDescription,Ermöglicht jeglichen Wasserzufluss.,-
//,//,
Knatte.InvCornerW.DisplayName,Deich Schräge Ecke,-
Knatte.InvCornerW.Description,Verpassen wir dem Deich Abschrägungen und Ecken.,-
Knatte.InvCornerW.FlavorDescription,Stoppt jeglichen Wasserzufluss.,-
//,//,
Knatte.Slope.DisplayName,Dekoration Schräge,-
Knatte.Slope.Description,Verpassen wir dem Deich Abschrägungen.,-
Knatte.Slope.FlavorDescription,Ermöglicht jeglichen Wasserzufluss.,-
//,//,
Knatte.CornerSlope.DisplayName,Dekoration Innere Ecke,-
Knatte.CornerSlope.Description,Verpassen wir dem Deich Ecken.,-
Knatte.CornerSlope.FlavorDescription,Ermöglicht jeglichen Wasserzufluss.,-
//,//,
Knatte.Square.DisplayName,Dekoration Viereck,
Knatte.Square.Description,Die Quadratur des Deiches.,
Knatte.Square.FlavorDescription,Ermöglicht jeglichen Wasserzufluss.,-
//,//,
Knatte.Square2W.DisplayName,Deich 2x2,
Knatte.Square3W.DisplayName,Deich 3x3,
Knatte.SquareW.Description,"Verdeicht, lass es groß sein.",
Knatte.SquareW.FlavorDescription,Stoppt jeglichen Wasserzufluss.,-
//,//,
Knatte.SquareW1x2.DisplayName,Deich 1x2,
Knatte.SquareW1x3.DisplayName,Deich 1x3,
Knatte.SquareW2x1.DisplayName,Deich 2x1,
Knatte.SquareW2x3.DisplayName,Deich 2x3,
