ID,Text,Comment
Knatte.Corner.DisplayName,Decoration Corner,-
Knatte.Corner.Description,Let the Dam be Cornered.,-
Knatte.Corner.FlavorDescription,Does not Block Water,-
//,//,
Knatte.SQCorner.DisplayName,Decoration Square Corner,-
Knatte.SQCorner.Description,Let the Dam be Cornered.,-
Knatte.SQCorner.FlavorDescription,Does not Block Water,-
//,//,
Knatte.Diagonal.DisplayName,Decoration Diagonal,-
Knatte.Diagonal.Description,Let the Dam go to the Side.,-
Knatte.Diagonal.FlavorDescription,Does not Block Water,-
//,//,
Knatte.DiagonalS.DisplayName,Decoration Diagonal Side Platform,-
Knatte.DiagonalS.Description,Let the Dam go to the Side and have Platform.,-
Knatte.DiagonalS.FlavorDescription,Does not Block Water,-
//,//,
Knatte.DiagonalW.DisplayName,Leeve Diagonal,-
Knatte.DiagonalW.Description,Let the Dam go to the Side.,-
Knatte.DiagonalW.FlavorDescription,Water will not Pass,-
//,//,
Knatte.InvCorner.DisplayName,Decoration Internal Corner,-
Knatte.InvCorner.Description,Let the Dam be Cornered.,-
Knatte.InvCorner.FlavorDescription,Does not Block Water,-
//,//,
Knatte.InvCornerW.DisplayName,Leeve Internal Corner,-
Knatte.InvCornerW.Description,Let the Dam be Cornered.,-
Knatte.InvCornerW.FlavorDescription,Water will not Pass,-
//,//,
Knatte.Slope.DisplayName,Decoration Slope,-
Knatte.Slope.Description,Let the Dam be Sloped.,-
Knatte.Slope.FlavorDescription,Does not Block Water,-
//,//,
Knatte.CornerSlope.DisplayName,Decoration Slope Corner,-
Knatte.CornerSlope.Description,Let the Dam be Cornered.,-
Knatte.CornerSlope.FlavorDescription,Does not Block Water,-
//,//,
Knatte.Square.DisplayName,Decoration Cube,
Knatte.Square.Description,Dam the Square,
Knatte.Square.FlavorDescription,Does not Block Water,-
//,//,
Knatte.Square2W.DisplayName,Levee 2x2,
Knatte.Square3W.DisplayName,Levee 3x3,
Knatte.SquareW.Description,Dam let it be big,
Knatte.SquareW.FlavorDescription,Water will not Pass,-
//,//,
Knatte.SquareW1x2.DisplayName,Levee 1x2,
Knatte.SquareW1x3.DisplayName,Levee 1x3,
Knatte.SquareW2x1.DisplayName,Levee 2x1,
Knatte.SquareW2x3.DisplayName,Levee 2x3,
Knatte.SquareW3x1.DisplayName,Levee 3x1,
Knatte.SquareW3x2.DisplayName,Levee 3x2,
//,//,
//,//,
Knatte.HighDam.DisplayName,High Dam,
Knatte.HighDam.Description,"Blocks water but allows less(85%) to pass through a spillway at the top.
Higher risk of floods!",
Knatte.HighDam.FlavorDescription,Water will not Pass,-
//,//,
Knatte.Corner2X.DisplayName,"Decoration Corner 
Double Height",-
Knatte.Corner2X.Description,Let the Dam be Cornered.,-
Knatte.Corner2X.FlavorDescription,Does not Block Water,-
//,//,
Knatte.SQCorner2X.DisplayName,"Decoration Square Corner 
Double Height",-
Knatte.SQCorner2X.Description,Let the Dam be Cornered.,-
