ID,Text,Comment
Knatte.Corner.DisplayName,Esquina Decorativa,-
Knatte.Corner.Description,Que la Presa sea Esquinada.,-
Knatte.Corner.FlavorDescription,No Bloquea el Agua,-
//,//,
Knatte.SQCorner.DisplayName,Esquina Decorativa Cuadrada,-
Knatte.SQCorner.Description,Que la Presa sea Esquinada.,-
Knatte.SQCorner.FlavorDescription,No Bloquea el Agua,-
//,//,
Knatte.Diagonal.DisplayName,Diagonal Decorativa,-
Knatte.Diagonal.Description,Que la Presa vaya de Lado.,-
Knatte.Diagonal.FlavorDescription,No Bloquea el Agua,-
//,//,
Knatte.DiagonalS.DisplayName,Plataforma Diagonal Decorativa ,-
Knatte.DiagonalS.Description,Que la Presa vaya de Lado y tenga Plataforma.,-
Knatte.DiagonalS.FlavorDescription,No Bloquea el Agua,-
//,//,
Knatte.DiagonalW.DisplayName,Dique Diagonal,-
Knatte.DiagonalW.Description,Que la Presa vaya de Lado.,-
Knatte.DiagonalW.FlavorDescription,El Agua NO Pasa,-
//,//,
Knatte.InvCorner.DisplayName,Esquina Decorativa Interna,-
Knatte.InvCorner.Description,Que la Presa sea Esquinada.,-
Knatte.InvCorner.FlavorDescription,No Bloquea el Agua,-
//,//,
Knatte.InvCornerW.DisplayName,Dique Esquina Interna,-
Knatte.InvCornerW.Description,Que la Presa vaya de Lado.,-
Knatte.InvCornerW.FlavorDescription,El Agua NO Pasa,-
//,//,
Knatte.Slope.DisplayName,Pendiente Decorativa,-
Knatte.Slope.Description,Que la Presa Tenga Pendiente.,-
Knatte.Slope.FlavorDescription,No Bloquea el Agua,-
//,//,
Knatte.CornerSlope.DisplayName,Pendiente Decorativa Esquina,-
Knatte.CornerSlope.Description,Que la Presa sea Esquinada.,-
Knatte.CornerSlope.FlavorDescription,No Bloquea el Agua,-
//,//,
Knatte.Square.DisplayName,Cubo Decorativo,
Knatte.Square.Description,Que la Presa sea Cubica,
Knatte.Square.FlavorDescription,No Bloquea el Agua,-
//,//,
Knatte.Square2W.DisplayName,Dique 2x2,
Knatte.Square3W.DisplayName,Dique 3x3,
Knatte.SquareW.Description,Que la Presa sea Grande,
Knatte.SquareW.FlavorDescription,El Agua NO Pasa,-
//,//,
Knatte.SquareW1x2.DisplayName,Dique 1x2,
Knatte.SquareW1x3.DisplayName,Dique 1x3,
Knatte.SquareW2x1.DisplayName,Dique 2x1,
Knatte.SquareW2x3.DisplayName,Dique 2x3,
Knatte.SquareW3x1.DisplayName,Dique 3x1,
Knatte.SquareW3x2.DisplayName,Dique 3x2,
//,//,
//,//,
Knatte.HighDam.DisplayName,Que la Presa sea Alta,
Knatte.HighDam.Description,"Bloquea el Agua pero permite menos(85%) pasar por un espacio en la cima.
Mayor riesgo de Inundacion!",
Knatte.HighDam.FlavorDescription,El Agua NO Pasa,-
//,//,
Knatte.Corner2X.DisplayName,Esquina Decorativa Doble Altura,-
Knatte.Corner2X.Description,Que la Presa sea Esquinada.,-
