ID,Text,Comment
Knatte.Corner.DisplayName,Декоративный уголок,«» –
Knatte.Corner.Description,Делает плотину более многогранной.,-
Knatte.Corner.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.SQCorner.DisplayName,Decoration Square Corner, Untranlsated
Knatte.SQCorner.Description,Let the Dam be Cornered., Untranlsated
Knatte.SQCorner.FlavorDescription,Does not Block Water, Untranlsated
//,//,
Knatte.Diagonal.DisplayName,Декоративный диагональный блок,-
Knatte.Diagonal.Description,Плотина под новым углом.,-
Knatte.Diagonal.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.DiagonalS.DisplayName,Декоративный диагональный блок с платформой,-
Knatte.DiagonalS.Description,"Плотина под новым углом, да ещё и с платформой.",-
Knatte.DiagonalS.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.DiagonalW.DisplayName,Диагональная дамба,-
Knatte.DiagonalW.Description,"Плотина под новым углом, но теперь функционально.",-
Knatte.DiagonalW.FlavorDescription,"Вода, ты не пройдёшь!",-
//,//,
Knatte.InvCorner.DisplayName,Декоративный внутренний уголок,-
Knatte.InvCorner.Description,Делает плотину более многогранной.,-
Knatte.InvCorner.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.InvCornerW.DisplayName,Внутрений уголок дамбы,-
Knatte.InvCornerW.Description,Делает плотину более многогранной.,-
Knatte.InvCornerW.FlavorDescription,"Вода, ты не пройдёшь!",-
//,//,
Knatte.Slope.DisplayName,Декоративный наклонный блок,-
Knatte.Slope.Description,Так плотина выглядит намного надёжнее.,-
Knatte.Slope.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.CornerSlope.DisplayName,Уголовой декоративный наклонный блок,-
Knatte.CornerSlope.Description,Делает плотину более многогранной.,-
Knatte.CornerSlope.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.Square.DisplayName,Декоративный куб,
Knatte.Square.Description,"Подобен дамбе, но не дамба.",
Knatte.Square.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.Square2W.DisplayName,Дамба 2x2,
Knatte.Square3W.DisplayName,Дамба 3x3,
Knatte.SquareW.Description,Выглядит лучше в составе больших плотин.,
Knatte.SquareW.FlavorDescription,"Вода, ты не пройдёшь!",-
//,//,
Knatte.SquareW1x2.DisplayName,Дамба 1x2,
Knatte.SquareW1x3.DisplayName,Дамба 1x3,
Knatte.SquareW2x1.DisplayName,Дамба 2x1,
Knatte.SquareW2x3.DisplayName,Дамба 2x3,
Knatte.SquareW3x1.DisplayName,Дамба 3x1,
Knatte.SquareW3x2.DisplayName,Дамба 3x2,
//,//,
//,//,
Knatte.HighDam.DisplayName,Высокая плотина,
Knatte.HighDam.Description,"Задерживает воду, но пропускает часть выше (85%) через водосброс сверху.
Повышенный риск затопления!",
Knatte.HighDam.FlavorDescription,"Вода, ты не пройдёшь!",-
//,//,
Knatte.Corner2X.DisplayName,Двойной декоративный уголок,Decoration Corner Double Height
Knatte.Corner2X.Description,Делает плотину более многогранной.,-
Knatte.Corner2X.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.SQCorner2X.DisplayName,Decoration Square Corner Double Height, Untranlsated
Knatte.SQCorner2X.Description,Let the Dam be Cornered., Untranlsated
Knatte.SQCorner2X.FlavorDescription,Does not Block Water, Untranlsated
//,//,
Knatte.Diagonal2X.DisplayName,Decoration Diagonal Double Height,Not in the game?
Knatte.Diagonal2X.Description,Let the Dam go to the Side.,-
Knatte.Diagonal2X.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.InvCornerS2X.DisplayName,Двойный декоративный внутренний уголок с платформой,-
Knatte.InvCornerS2X.Description,"Плотина под новым углом, да ещё и с платформой.",-
Knatte.InvCornerS2X.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.InvCorner2X.DisplayName,Двойный декоративный внутренний уголок,-
Knatte.InvCorner2X.Description,Делает плотину более многогранной.,-
Knatte.InvCorner2X.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.InvCornerW2X.DisplayName,Двойный внутренний уголок дамбы,-
Knatte.InvCornerW2X.Description,Делает плотину более многогранной.,-
Knatte.InvCornerW2X.FlavorDescription,"Вода, ты не пройдёшь!",-
//,//,
Knatte.Slope2X.DisplayName,Двойной декоративный наклонный блок,-
Knatte.Slope2X.Description,Так плотина выглядит намного надёжнее.,-
Knatte.Slope2X.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.CornerSlope2X.DisplayName,Двойной декоративный угловой наклонный блок,-
Knatte.CornerSlope2X.Description,Делает плотину более многогранной.,-
Knatte.CornerSlope2X.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.Corner3X.DisplayName,Decoration Corner Tripple Height,-   Untranlsated
Knatte.Corner3X.Description,Let the Dam be Cornered.,-   Untranlsated
Knatte.Corner3X.FlavorDescription,Does not Block Water,-   Untranlsated
//,//,
Knatte.InvCorner3X.DisplayName,Decoration Internal Corner Tripple Height,-   Untranlsated
Knatte.InvCorner3X.Description,Let the Dam be Cornered.,-   Untranlsated
Knatte.InvCorner3X.FlavorDescription,Does not Block Water,-   Untranlsated
//,//,
Knatte.Slope3X.DisplayName,Decoration Slope Double Height,-   Untranlsated
Knatte.Slope3X.Description,Let the Dam be Sloped.,-   Untranlsated
Knatte.Slope3X.FlavorDescription,Does not Block Water,-   Untranlsated
//,//,
Knatte.InvCornerW3X.DisplayName,Leeve Internal Corner Tripple Height,-   Untranlsated
Knatte.InvCornerW3X.Description,Let the Dam be Cornered.,-   Untranlsated
Knatte.InvCornerW3X.FlavorDescription,Water will not Pass,-   Untranlsated
//,//,
Knatte.SlopeW_1.DisplayName,Levee Slope,
Knatte.SlopeW_2.DisplayName,Levee Slope Double Height,
Knatte.SlopeW_3.DisplayName,Levee Slope Tripple Height,
Knatte.SlopeW.Description,Slope that block water in full block,
Knatte.SlopeW.FlavorDescription,Water will not Pass,
//,//,
Knatte.SlopeS.DisplayName,Блок с лестницей,-
Knatte.SlopeS.Description,Для доступа на плотину.,-
Knatte.SlopeS.FlavorDescription,Не останавливает воду,-
//,//,
Knatte.DiagPath.DisplayName,Diagonal path, 						Untranslated
Knatte.DiagPath.Description,"""""Path to go diagonal on Decoration and levees.",
Knatte.DiagPath.FlavorDescription,"""Beaver slalom"" —Some happy beaver", 						Untranslated
//,//,
Knatte.ToolGroup.DecorationBlocks,Decoration Blocks,-               Untranlsated
//,//,
Knatte.CategoryDam.DisplayName,Wood Декоративные формы,-
Knatte.CategoryDam.Des,Не останавливают воду,-
//,//,
Knatte.CategoryLevees.DisplayName,Shaped Levees and Dam,-
Knatte.CategoryLeveesSQ.DisplayName,Square Levees and Dam,-
//,//,
Knatte.CategoryDam2.DisplayName,Wood Decoration,-               Untranlsated
Knatte.CategoryDam2.Des,Does not Block Water,-                      Untranlsated
//,//,
Knatte.DoubleInvSlope.DisplayName,Double Inverted Slope,                   Untranslated
Knatte.DoubleInvSlope.Description,Levee and inverted Slope Combo,               Untranslated
Knatte.DoubleInvSlope.FlavorDescription,Lets build an Bridge,                   Untranslated
//,//,
Knatte.Square1x2.DisplayName,Decoration Cube 1x2,                               Untranslated
Knatte.Square1x3.DisplayName,Decoration Cube 1x3,                               Untranslated
Knatte.Square_B.Description,Square that can stick out but does not block water.,Untranslated
Knatte.Square_B.FlavorDescription,Look it floats,                                             Untranslated
//,//,
Knatte.InvSlope1x1.DisplayName,Inverted Slope 1x1,                              Untranslated
Knatte.InvSlope1x2.DisplayName,Inverted Slope 1x2,                              Untranslated
Knatte.InvSlope1x3.DisplayName,Inverted Slope 1x3,                              Untranslated
Knatte.InvSlope2x1.DisplayName,Inverted Slope 2x1,                              Untranslated
Knatte.InvSlope.Description,Square that can stick out but does not block water.,Untranslated
Knatte.InvSlope.FlavorDescription,Out we go, Untranlsated
//,//,
Knatte.InvTrapezium1x1.DisplayName,Inverted Trapezium 1x1,                  Untranlsated
//,//,
Knatte.BlockDecoration.DisplaynameLocKey,Beautiful Dam,                           Untranlsated
Knatte.InvSlopeW1x1.DisplayName,Inverted Levee Slope 1x1,
Knatte.InvSlopeW1x2.DisplayName,Inverted Levee Slope 1x2,
Knatte.InvSlopeW1x3.DisplayName,Inverted Levee Slope 1x3,
Knatte.InvSlopeW2x1.DisplayName,Inverted Levee Slope 2x1,
Knatte.InvSlopeW.Description,"Square that can stick out. 
Placment hex block all water other blocks only from top/bottom like a built in Impermeable Floor",
Knatte.InvSlopeW.FlavorDescription,Out we go,
//,//,
Knatte.InvTrapeziumW1x1.DisplayName,Inverted Trapezium Levee 1x1,
Knatte.DoubleInvSlopeW.Description,"Square that sticks out on both sides. 
Placment hex block all water other blocks only from top/bottom like a built in Impermeable Floor",
Knatte.DoubleInvSlopeW.FlavorDescription,Lets build an Bridge,
