ID,Text,Comment
Knatte.EfficientWoodWorkshop.DisplayName,Efficient Wood Workshop,-
Knatte.EfficientWoodWorkshop.Description,More efficient wood workshop that can also create gears from logs,-
Knatte.EfficientWoodWorkshop.FlavorDescription,tbd,Fixed to match official styling
Knatte.EfficientGear.PluralDisplayName,Efficient Gears,
Knatte.EfficientPlank.PluralDisplayName,Efficient Planks,
Knatte.EfficientTreatedPlank.PluralDisplayName,Efficient Treated Planks,
Knatte.Recipe.Name,Recipe:,
//,/Transport / Build /,
Knatte.EfficientBuildersHut.DisplayName,Efficient Builders' Hut,
Knatte.EfficientBuildersHut.Description,"Faster and stronger, Builders spend their idle time exercising or tinkering with their toolboxes.",
Knatte.EfficientBuildersHut.FlavorDescription,"Nicely done, awesome machine!",
Knatte.EfficientHaulingPost.DisplayName,Efficient Hauling Post,
Knatte.EfficientHaulingPost.Description,Haulingpost that has workout equipment so they get a speed boost when delivering goods,
Knatte.EfficientHaulingPost.FlavorDescription,Why rest when you can exercise while you wait?,
//,/Flag/,
Knatte.EfficientLumberjackFlag.DisplayName,Efficient Lumberjack Flag,
Knatte.EfficientLumberjackFlag.Description,"Lumberjack with harness for more carry capacity
If nothing to cut it will help carry some goods.",
Knatte.EfficientLumberjackFlag.FlavorDescription,tbd,
Knatte.EfficientGathererFlag.DisplayName,Efficient Gatherer Flag,
Knatte.EfficientGathererFlag.Description,Gatherer with Scissors for faster workspeed.,
Knatte.EfficientGathererFlag.FlavorDescription,tbd,
Knatte.EfficientScavengerFlag.DisplayName,Efficient Scavenger Flag,
Knatte.EfficientScavengerFlag.Description,Scavenger with harness for more carry capacity.,
Knatte.EfficientScavengerFlag.FlavorDescription,tbd,
//,//,
Knatte.EfficientWaterExperiments.Displayname,Efficient Water Experiments,
Knatte.EfficientWaterExperiments.Description,"A specialized hillside laboratory designed for unconventional experiments. 
Ensure the rear cellar well is placed on solid ground for stability.
Inputs: Well Water, Water, or Badwater.
Notice: Change the recipe and the fuel may be gone!",
Knatte.EfficientLumberjackFlag.FlavorDescription,"""Hope this does not go boom"" - Random beaver",
Knatte.EfficientScienepoints,Science,
Knatte.EfficientScienepoints.Water,Science with Water,
Knatte.EfficientScienepoints.BadWater,Science with Bad Water,
//,//Waterpump//,
Knatte.EfficientWaterPump.DisplayName,Efficient Water Pump,
Knatte.EfficientWaterPump.Description,"Pump that can work without worker, uses power to pump and can pump deep.
",
Knatte.EfficientWaterPump.FlavorDescription,Tbd,
Knatte.EfficientBadWaterPump.DisplayName,Efficient Bad Water Pump,
Knatte.EfficientBadWaterPump.Description,"Bad water pump that can work without worker, uses power to pump and can pump deep.",
Building.BadwaterPump.FlavorDescription,"""Just jack it up"" - Jaymack beaver",
//,//Food,
Knatte.EfficientBarnHouse.DisplayName,Efficient Barn House,
Knatte.EfficientBarnHouse.Description,"Big Barn with more tools for efficient work and a lot of storage space for harvested crops.
",
Knatte.EfficientBarnHouse.FlavorDescription,Tbd,
