ID,Text,Comment
Knatte.WaterAlarm.DisplayName,Wasseralarm,-
Knatte.WaterAlarm.Description,"Eine kombinierte Wasserströmungsanzeige und Wasseralarm, der warnt falls kein Wasser vorhanden ist.",-
Knatte.WaterAlarm.FlavorDescription,Klingelingeling,-
//,//,
Knatte.WaterAlarm11.DisplayName,"Wasserströmungsanzeige
elffache Höhe",-
Knatte.WaterAlarm11.Description,Eine hohe Wasserströmungsanzeige.,-
Knatte.WaterAlarm11.FlavorDescription,Mario-Sprung,-
//,//,
Knatte.MetalFloodgate.DisplayName,Metallschleuse,-
Knatte.MetalFloodgate.Description,"Bessere, höhere Schleuse die überbaut werden kann.",-
//,//,
Knatte.Floodgate.DisplayName,Metallschleusen,-
//,//,
Knatte.MetalFloodgate2.DisplayName,Doppelmetallschleuse,-
Knatte.MetalFloodgate3.DisplayName,Dreifachmetallschleuse,-
Knatte.MetalFloodgate4.DisplayName,Vierfachmetallschleuse,-
Knatte.MetalFloodgate5.DisplayName,Fünffachmetallschleuse,-
Knatte.MetalFloodgate6.DisplayName,Sechsfachmetallschleuse,-
Knatte.MetalFloodgate7.DisplayName,Siebenfachmetallschleuse,-
Knatte.MetalFloodgate8.DisplayName,Achtfachmetallschleuse,-
Knatte.MetalFloodgate9.DisplayName,Neunfachmetallschleuse,-
Knatte.MetalFloodgate10.DisplayName,Zehnfachmetallschleuse,-
//,//,
Knatte.Aqueduct_MetalFloodgate.DisplayName,Aqueduct Metal Flood gate 1 High,-
Knatte.Aqueduct_MetalFloodgate.Description,Bigger better Flood gate that can be stacked stuff on top in Aqueduct theme,-
//,//,
Knatte.Aqueduct_Floodgate.DisplayName,"Aqueduct style 
Metal Flood gates",-
//,//,
Knatte.Aqueduct_MetalFloodgate2.DisplayName,Aqueduct Metal Flood gate 2 High,-
Knatte.Aqueduct_MetalFloodgate3.DisplayName,Aqueduct Metal Flood gate 3 High,-
Knatte.Aqueduct_MetalFloodgate4.DisplayName,Aqueduct Metal Flood gate 4 High,-
Knatte.Aqueduct_MetalFloodgate5.DisplayName,Aqueduct Metal Flood gate 5 High,-
Knatte.Aqueduct_MetalFloodgate6.DisplayName,Aqueduct Metal Flood gate 6 High,-
Knatte.Aqueduct_MetalFloodgate7.DisplayName,Aqueduct Metal Flood gate 7 High,-
Knatte.Aqueduct_MetalFloodgate8.DisplayName,Aqueduct Metal Flood gate 8 High,-
Knatte.Aqueduct_MetalFloodgate9.DisplayName,Aqueduct Metal Flood gate 9 High,-
Knatte.Aqueduct_MetalFloodgate10.DisplayName,Aqueduct Metal Flood gate 10 High,-
