ID,Text,Comment
Knatte.WaterAlarm.DisplayName,Water Alarm,-
Knatte.WaterAlarm.Description,A combined Streamgauge and Water Alarm that will give a warning if it has no water.,-
Knatte.WaterAlarm.FlavorDescription,Ring Ring,
//,//,
Knatte.WaterAlarm11.DisplayName,Stream Gauge 11 High,-
Knatte.WaterAlarm11.Description,A Big Streamgauge.,-
Knatte.WaterAlarm11.FlavorDescription,Mario Jump,
//,//,
Knatte.MetalFloodgate.DisplayName,Metal Flood gate,-
Knatte.MetalFloodgate.Description,Bigger better Flood gate that can be stacked stuff on top,-
//,//,
Knatte.Floodgate.DisplayName,Metal Flood gates,-
//,//,
Knatte.MetalFloodgate2.DisplayName,Metal Flood gate 2 High,-
Knatte.MetalFloodgate3.DisplayName,Metal Flood gate 3 High,-
Knatte.MetalFloodgate4.DisplayName,Metal Flood gate 4 High,-
Knatte.MetalFloodgate5.DisplayName,Metal Flood gate 5 High,-
Knatte.MetalFloodgate6.DisplayName,Metal Flood gate 6 High,-
Knatte.MetalFloodgate7.DisplayName,Metal Flood gate 7 High,-
Knatte.MetalFloodgate8.DisplayName,Metal Flood gate 8 High,-
Knatte.MetalFloodgate9.DisplayName,Metal Flood gate 9 High,-
Knatte.MetalFloodgate10.DisplayName,Metal Flood gate 10 High,-
//,//,
Knatte.Aqueduct_MetalFloodgate.DisplayName,Aqueduct Metal Flood gate 1 High,-
Knatte.Aqueduct_MetalFloodgate.Description,Bigger better Flood gate that can be stacked stuff on top in Aqueduct theme,-
//,//,
Knatte.Aqueduct_Floodgate.DisplayName,Aqueduct style Metal Flood gates,-
//,//,
Knatte.Aqueduct_MetalFloodgate2.DisplayName,Aqueduct Metal Flood gate 2 High,-
Knatte.Aqueduct_MetalFloodgate3.DisplayName,Aqueduct Metal Flood gate 3 High,-
Knatte.Aqueduct_MetalFloodgate4.DisplayName,Aqueduct Metal Flood gate 4 High,-
Knatte.Aqueduct_MetalFloodgate5.DisplayName,Aqueduct Metal Flood gate 5 High,-
Knatte.Aqueduct_MetalFloodgate6.DisplayName,Aqueduct Metal Flood gate 6 High,-
Knatte.Aqueduct_MetalFloodgate7.DisplayName,Aqueduct Metal Flood gate 7 High,-
Knatte.Aqueduct_MetalFloodgate8.DisplayName,Aqueduct Metal Flood gate 8 High,-
Knatte.Aqueduct_MetalFloodgate9.DisplayName,Aqueduct Metal Flood gate 9 High,-
Knatte.Aqueduct_MetalFloodgate10.DisplayName,Aqueduct Metal Flood gate 10 High,-
