ID,Text,Comment
Knatte.WaterAlarm.DisplayName,水位警報機,-
Knatte.WaterAlarm.Description,水が干上がったときに警告を発する量水標。,-
Knatte.WaterAlarm.FlavorDescription,Ring Ring, UnTranslated
//,//,
Knatte.WaterAlarm11.DisplayName,Stream Gauge 11 High, UnTranslated
Knatte.WaterAlarm11.Description,A Big Streamgauge., UnTranslated
Knatte.WaterAlarm11.FlavorDescription,Mario Jump, UnTranslated
//,//,
Knatte.MetalFloodgate.DisplayName,金属製の水門,-
Knatte.MetalFloodgate.Description,より大きな、上に足場を積める水門。,-
//,//,
Knatte.Floodgate.DisplayName,金属製の水門,-
//,//,
Knatte.MetalFloodgate2.DisplayName,金属製の水門（高さ2）,-
Knatte.MetalFloodgate3.DisplayName,金属製の水門（高さ3）,-
Knatte.MetalFloodgate4.DisplayName,金属製の水門（高さ4）,-
Knatte.MetalFloodgate5.DisplayName,金属製の水門（高さ5）,-
Knatte.MetalFloodgate6.DisplayName,金属製の水門（高さ6）,-
Knatte.MetalFloodgate7.DisplayName,金属製の水門（高さ7）,-
Knatte.MetalFloodgate8.DisplayName,金属製の水門（高さ8）,-
Knatte.MetalFloodgate9.DisplayName,金属製の水門（高さ9）,-
Knatte.MetalFloodgate10.DisplayName,金属製の水門（高さ10）,-
//,//,
Knatte.Aqueduct_MetalFloodgate.DisplayName,Aqueduct Metal Flood gate 1 High,-
Knatte.Aqueduct_MetalFloodgate.Description,Bigger better Flood gate that can be stacked stuff on top in Aqueduct theme,-
//,//,
Knatte.Aqueduct_Floodgate.DisplayName,Aqueduct style Metal Flood gates,-
//,//,
Knatte.Aqueduct_MetalFloodgate2.DisplayName,Aqueduct Metal Flood gate 2 High,-
Knatte.Aqueduct_MetalFloodgate3.DisplayName,Aqueduct Metal Flood gate 3 High,-
Knatte.Aqueduct_MetalFloodgate4.DisplayName,Aqueduct Metal Flood gate 4 High,-
Knatte.Aqueduct_MetalFloodgate5.DisplayName,Aqueduct Metal Flood gate 5 High,-
Knatte.Aqueduct_MetalFloodgate6.DisplayName,Aqueduct Metal Flood gate 6 High,-
Knatte.Aqueduct_MetalFloodgate7.DisplayName,Aqueduct Metal Flood gate 7 High,-
Knatte.Aqueduct_MetalFloodgate8.DisplayName,Aqueduct Metal Flood gate 8 High,-
Knatte.Aqueduct_MetalFloodgate9.DisplayName,Aqueduct Metal Flood gate 9 High,-
Knatte.Aqueduct_MetalFloodgate10.DisplayName,Aqueduct Metal Flood gate 10 High,-
