ID,Text,Comment
Knatte.WaterAlarm.DisplayName,Тревожный футшток,«» –
Knatte.WaterAlarm.Description,"Измеряет уровень воды и скорость течения, а также подаёт тревогу в случае пересыхания.",-
Knatte.WaterAlarm.FlavorDescription,«Футшто́к (нем. Fußstock) — уровнемер в виде рейки с делениями для наблюдения и определения уровня воды в водоёме» – словарь гидротехнических терминов под ред. Казко,
//,//,
Knatte.StreamGauge11.DisplayName,Stream Gauge 11 High, UnTranslated
Knatte.StreamGauge11.Description,A Big Streamgauge., UnTranslated
Knatte.StreamGauge.FlavorDescription,Mario Jump, UnTranslated
//,//,
Knatte.MetalFloodgate.DisplayName,Усиленный шлюз водосброса,-
Knatte.MetalFloodgate.Description,"Шлюз водосброса с регулируемым затвором и конструкцией, усиленной металлической рамой.\nПозволяет установить платформы над блоками лебёдок.",-
//,//,
Knatte.Floodgate.DisplayName,Усиленные шлюзы водосброса,
//,//,
Knatte.MetalFloodgate2.DisplayName,Усиленный шлюз водосброса высотой 2,-
Knatte.MetalFloodgate3.DisplayName,Усиленный шлюз водосброса высотой 3,-
Knatte.MetalFloodgate4.DisplayName,Усиленный шлюз водосброса высотой 4,-
Knatte.MetalFloodgate5.DisplayName,Усиленный шлюз водосброса высотой 5,-
Knatte.MetalFloodgate6.DisplayName,Усиленный шлюз водосброса высотой 6,-
Knatte.MetalFloodgate7.DisplayName,Усиленный шлюз водосброса высотой 7,-
Knatte.MetalFloodgate8.DisplayName,Усиленный шлюз водосброса высотой 8,-
Knatte.MetalFloodgate9.DisplayName,Усиленный шлюз водосброса высотой 9,-
Knatte.MetalFloodgate10.DisplayName,Усиленный шлюз водосброса высотой 10,-
//,//,
Knatte.Aqueduct_MetalFloodgate.DisplayName,Aqueduct Metal Flood gate 1 High,-
Knatte.Aqueduct_MetalFloodgate.Description,Bigger better Flood gate that can be stacked stuff on top in Aqueduct theme,-
//,//,
Knatte.Aqueduct_Floodgate.DisplayName,Aqueduct style Metal Flood gates,-
//,//,
Knatte.Aqueduct_MetalFloodgate2.DisplayName,Aqueduct Metal Flood gate 2 High,-
Knatte.Aqueduct_MetalFloodgate3.DisplayName,Aqueduct Metal Flood gate 3 High,-
Knatte.Aqueduct_MetalFloodgate4.DisplayName,Aqueduct Metal Flood gate 4 High,-
Knatte.Aqueduct_MetalFloodgate5.DisplayName,Aqueduct Metal Flood gate 5 High,-
Knatte.Aqueduct_MetalFloodgate6.DisplayName,Aqueduct Metal Flood gate 6 High,-
Knatte.Aqueduct_MetalFloodgate7.DisplayName,Aqueduct Metal Flood gate 7 High,-
Knatte.Aqueduct_MetalFloodgate8.DisplayName,Aqueduct Metal Flood gate 8 High,-
Knatte.Aqueduct_MetalFloodgate9.DisplayName,Aqueduct Metal Flood gate 9 High,-
Knatte.Aqueduct_MetalFloodgate10.DisplayName,Aqueduct Metal Flood gate 10 High,-
