ID,Text,Comment
Knatte.Subgroup_MGShafts.DisplayName,Shafts,
Knatte.Subgroup_MGPower.DisplayName,Power Generators,
Knatte.Subgroup_MGPiles.DisplayName,Piles,
Knatte.Subgroup_MGWarehouses.DisplayName,Warehouses,
Knatte.Subgroup_MGTanks.DisplayName,Tanks,
Knatte.Subgroup_MGAqueduct.DisplayName,Aqueducts,
Knatte.Subgroup_MGFloodgates.DisplayName,Floodgates,
Knatte.Subgroup_MGAqueduct_Floors.DisplayName,Aqueduct Floors,
Knatte.Subgroup_MGDynamite.DisplayName,Dynamites,
Knatte.Subgroup_MGRoofs.DisplayName,Roofs,
Knatte.Subgroup_MGLevees.DisplayName,Levees,
Knatte.Subgroup_MGPipe.DisplayName,Pipes,
//,//Paths,
Knatte.Subgroup_MGMetalPlatform.DisplayName,Metal Platforms,
Knatte.Subgroup_MGMetalOverhang.DisplayName,Metal Overhangs,
Knatte.Subgroup_MGBigMetalPillar.DisplayName,Big Metal Pillars,
Knatte.Subgroup_MGOverhangs.DisplayName,Overhangs,
Knatte.Subgroup_MGZiplines.DisplayName,Ziplines,
Knatte.Subgroup_MGArchs.DisplayName,Archs,
Knatte.Subgroup_MGTubeways.DisplayName,Tubeways,
Knatte.Subgroup_MGBridges.DisplayName,Suspension Bridges,
Knatte.Subgroup_MGPillars.DisplayName,Pillars,
Knatte.Subgroup_MGPlatforms.DisplayName,Platforms,
Knatte.Subgroup_MGStaircase.DisplayName,Staircases,
