ID,Text,Comment
Knatte.Subgroup_MGShafts.DisplayName,Essieux,
Knatte.Subgroup_MGPower.DisplayName,Générateurs d'énergie,
Knatte.Subgroup_MGPiles.DisplayName,Tas,
Knatte.Subgroup_MGWarehouses.DisplayName,Entrepôts,
Knatte.Subgroup_MGTanks.DisplayName,Cuves,
Knatte.Subgroup_MGStaircase.DisplayName,Escaliers,
Knatte.Subgroup_MGPlatforms.DisplayName,Plateformes,
Knatte.Subgroup_MGMetalPlatform.DisplayName,Plateformes métalliques,
Knatte.Subgroup_MGBridges.DisplayName,Ponts suspendus,
Knatte.Subgroup_MGAqueduct.DisplayName,Aqueducs,
Knatte.Subgroup_MGFloodgates.DisplayName,Écluses,
Knatte.Subgroup_MGAqueduct_Floors.DisplayName,Planchers d'aqueduc,
Knatte.Subgroup_MGDynamite.DisplayName,Dynamites,
Knatte.Subgroup_MGRoofs.DisplayName,Toitures,
Knatte.Subgroup_MGOverhangs.DisplayName,Surplombs,
Knatte.Subgroup_MGBigMetalPillar.DisplayName,Grands piliers en métal,
Knatte.Subgroup_MGMetalOverhang.DisplayName,Surplombs métalliques +,
Knatte.Subgroup_MGPipe.DisplayName,Pipes,untranslated
