Prefabname,ToolGroupId,ToolOrder,Faction(empty for All),Devmode,Comment,ForceParrent
Buildings/Paths/Platform/Platform.Folktails.blueprint,,10,,,Subgroup_MGPlatforms,
Buildings/Paths/DoublePlatform/DoublePlatform.Folktails.blueprint,,11,,,Subgroup_MGPlatforms,
Buildings/Paths/TriplePlatform/TriplePlatform.Folktails.blueprint,,12,,,Subgroup_MGPlatforms,
,,,,,,
Knatte/Buildings/Paths/Pillar/Pillar.Folktails,,,,,Subgroup_MGPlatforms,
Knatte/Buildings/Paths/Pillar/Pillar_1.Folktails,,,,,Subgroup_MGPlatforms,
Knatte/Buildings/Paths/Pillar/Pillar_2.Folktails,,,,,Subgroup_MGPlatforms,
Knatte/Buildings/Paths/Pillar/Pillar_3.Folktails,,,,,Subgroup_MGPlatforms,
Knatte/Buildings/Paths/Pillar/Pillar_4.Folktails,,,,,Subgroup_MGPlatforms,
Knatte/Buildings/Paths/Pillar/Pillars.Folktails,,,,,Subgroup_MGPlatforms,
Knatte/Buildings/Paths/PillarTop/PillarTop.Folktails,,,,,Subgroup_MGPlatforms,
Knatte/Buildings/Paths/PillarTop/StaircasePlatform.Folktails,,51,,,Subgroup_MGPlatforms,
Knatte/Buildings/Paths/Pillar/StaircasePillar.Folktails,,50,,,Subgroup_MGPlatforms,
Knatte/Buildings/Paths/StaircaseLog/StaircaseLog.Folktails,,31,,,Paths,
Knatte/Buildings/Paths/SpiralStaircase/SpiralStaircase.Folktails,,32,,,Paths,
Knatte/Buildings/Paths/MetalStaircase/MetalSpiralStaircase.Folktails,,35,,,Paths,
Knatte/Buildings/Paths/MetalStaircase/MetalStaircase.Folktails,,34,,,Paths,
,,,,,,
,,,,,,
,,,,,,
Blueprints/Buildings/Crappyplatform_brown_FT,,5,,false,Subgroup_MGPlatforms,
Blueprints/Buildings/Crappyplatform_birch_Common,,6,,false,Subgroup_MGPlatforms,
Blueprints/Buildings/Crappyplatform_Pink_Common,,7,,false,Subgroup_MGPlatforms,
Blueprints/Buildings/Crappyplatform_scramble_FT,,8,,false,Subgroup_MGPlatforms,
Blueprints/Buildings/Crappyplatform_Darkbrown_IT_EP,,5,,false,Subgroup_MGPlatforms,
Blueprints/Buildings/Crappyplatform_scramble_IT_EP,,8,,false,Subgroup_MGPlatforms,
Blueprints/Buildings/Logstairs_Birch_Common,,,,false,Paths,
Blueprints/Buildings/Logstairs_Brown_FT_WP,,,,false,Paths,
Blueprints/Buildings/Logstairs_Pink_Common,,,,false,Paths,
Blueprints/Buildings/Logstairs_Scrambled_FT_WP,,,,false,Paths,
Blueprints/Buildings/Logstairs_DarkBrown_IT_EP,,,,false,Paths,
Blueprints/Buildings/Logstairs_Scrambled_IT_EP,,,,false,Paths,
,,,,,,
Buildings/Paths/IronTeeth/SuspensionBridge7x1.IronTeeth,,,IronTeeth,,Paths,
Buildings/Paths/Folktails/SuspensionBridge7x1.Folktails,,,Folktails,,Paths,
Buildings/Paths/IronTeeth/SuspensionBridge8x1.IronTeeth,,,IronTeeth,,Paths,
Buildings/Paths/Folktails/SuspensionBridge8x1.Folktails,,,Folktails,,Paths,
,,,,,,
Buildings/Paths/Overhang2x1/Overhang2x1.Folktails.blueprint,,,,,Subgroup_MGMetalOverhang,
Buildings/Paths/Overhang3x1/Overhang3x1.Folktails.blueprint,,,,,Subgroup_MGMetalOverhang,
Buildings/Paths/Overhang4x1/Overhang4x1.Folktails.blueprint,,,,,Subgroup_MGMetalOverhang,
Buildings/Paths/Overhang5x1/Overhang5x1.Folktails.blueprint,,,,,Subgroup_MGMetalOverhang,
Buildings/Paths/Overhang6x1/Overhang6x1.Folktails.blueprint,,,,,Subgroup_MGMetalOverhang,
,,,,,,
Buildings/Paths/Folktails/Overhang7x1.Folktails.blueprint,,,Folktails,,Subgroup_MGMetalOverhang,
Buildings/Paths/IronTeeth/Overhang7x1.IronTeeth.blueprint,,,IronTeeth,,Subgroup_MGMetalOverhang,
Buildings/Paths/Folktails/Overhang3x1.Centered.Folktails.blueprint,,,Folktails,,Subgroup_MGMetalOverhang,
Buildings/Paths/IronTeeth/Overhang3x1.Centered.IronTeeth.blueprint,,,IronTeeth,,Subgroup_MGMetalOverhang,
Buildings/Paths/Folktails/Overhang5x1.Centered.Folktails.blueprint,,,Folktails,,Subgroup_MGMetalOverhang,
Buildings/Paths/IronTeeth/Overhang5x1.Centered.IronTeeth.blueprint,,,IronTeeth,,Subgroup_MGMetalOverhang,
Buildings/Paths/Folktails/Overhang7x1.Centered.Folktails.blueprint,,,Folktails,,Subgroup_MGMetalOverhang,
Buildings/Paths/IronTeeth/Overhang7x1.Centered.IronTeeth.blueprint,,,IronTeeth,,Subgroup_MGMetalOverhang,
,,,,,,
Buildings/Paths/MetalPlatform3x3/MetalPlatform3x3.Folktails.blueprint,,,,,Subgroup_MGMetalOverhang,
Buildings/Paths/MetalPlatform5x5/MetalPlatform5x5.Folktails.blueprint,,,,,Subgroup_MGMetalOverhang,
,,,,,,
Buildings/Paths/Folktails/MetalPlatform7x7.Folktails.blueprint,,,Folktails,,Subgroup_MGMetalOverhang,
Buildings/Paths/IronTeeth/MetalPlatform7x7.IronTeeth.blueprint,,,IronTeeth,,Subgroup_MGMetalOverhang,
,,,,,,
Opolame/Buildings/Landscaping/Tunneling/LadderTunnel/LadderTunnel.Folktails.blueprint,,1001,,,,
