ID,Text,Comment
KnatteTobbert.Tunnel_1.DisplayName,Tunnel 1x1,-
KnatteTobbert.Tunnel_2.DisplayName,Tunnel 2x1,-
KnatteTobbert.Tunnel_3.DisplayName,Tunnel 3x1,-
KnatteTobbert.Tunnel_4.DisplayName,Tunnel 4x1,-
KnatteTobbert.Tunnel_5.DisplayName,Tunnel 5x1,-
KnatteTobbert.Tunnel_6.DisplayName,Tunnel 6x1,-
KnatteTobbert.Tunnel_7.DisplayName,Tunnel 7x1,-
KnatteTobbert.Tunnel_8.DisplayName,Tunnel 8x1,-
KnatteTobbert.Tunnel_9.DisplayName,Tunnel 9x1,-
KnatteTobbert.Tunnel_1L.DisplayName,Tunnel Thrue Levee,-
KnatteTobbert.Tunnel_1L.Description,Allows beavers to pass through Levees.,-
KnatteTobbert.Tunnel.Description,Allows beavers to pass through mountains.,-
KnatteTobbert.Tunnel.FlavorDiscription,Do you know how hard it is to Model and Texture? - KnatteAnka,-
KnatteTobbert.CategoryTunnel.DisplayName,Tunnels,-
KnatteTobbert.CategoryTunnel.Description,Tunnels Past the Mountains,-
KnatteTobbert.CategorySBridges.DisplayName,Steel Bridges,-
KnatteTobbert.CategorySBridges.Description,Bridge between Mountains, Not used atm
KnatteTobbert.CategorySuspensionBridges.DisplayName,Suspension Bridges,-
KnatteTobbert.Bridge_1.DisplayName,Steel Bridge 1x1,-
KnatteTobbert.Bridge_2.DisplayName,Steel Bridge 2x1,-
KnatteTobbert.Bridge_3.DisplayName,Steel Bridge 3x1,-
KnatteTobbert.Bridge_4.DisplayName,Steel Bridge 4x1,-
KnatteTobbert.Bridge_5.DisplayName,Steel Bridge 5x1,-
KnatteTobbert.Bridge_6.DisplayName,Steel Bridge 6x1,-
KnatteTobbert.Bridge_7.DisplayName,Steel Bridge 7x1,-
KnatteTobbert.Bridge_8.DisplayName,Steel Bridge 8x1,-
KnatteTobbert.Bridge_9.DisplayName,Steel Bridge 9x1,-
KnatteTobbert.Bridge_10.DisplayName,Steel Bridge 10x1,-
KnatteTobbert.Bridge.Description,"Allows Path,Shafts and trains between mountains",-
KnatteTobbert.BridgeF.Description,"Allows Path,Shafts and trains between mountains
Complete bridge with both start and finish",-
KnatteTobbert.Bridge.FlavorDiscription,Choo Choo,-
Knatte.SmallGate.DisplayName,Small Gate,-
Knatte.SmallGate.Description,Balances goods between the two connected districts. Each side has one worker that distribute goods between the Small Gate and the rest of the district.,-
Knatte.SmallGate.FlavorDescription,Basegame item removed from update 4 is reused,-
Knatte.DecoSmallGate.DisplayName,Arcway U3,-
Knatte.DecoSmallGate.Description,Decoration Arcway from Update 3,-
Knatte.MetalPillar.DisplayName,Metal Pillar,-
Knatte.MetalPillars.DisplayName,Metal Pillar With Brace,-
Knatte.MetalPillar.Description,Let it Rise,-
Knatte.MetalPillar.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",-
Knatte.MetalPlatform.DisplayName,Metal Platform,-
Knatte.MetalPlatform.Description,A platform with 4 legs,-
Knatte.MetalPlatform.FlavorDescription,"""This table looked smaller in the catalog."" —Ma' Ngonel",Base game text
Knatte.MetalPlatform5x3.DisplayName,Metal Platform 5x3,
Knatte.MiddleOverhang3x1.DisplayName,Metal Middle Overhang 3x1,
Knatte.MiddleOverhang4x1.DisplayName,Metal Middle Overhang 4x1,
Knatte.MiddleOverhang5x1.DisplayName,Metal Middle Overhang 5x1,
Knatte.MiddleOverhang7x1.DisplayName,Metal Middle Overhang 7x1,
Knatte.MiddleOverhang.Description,"Overhang that goes at 2 directions
Gold marking is Pillar location",
Knatte.MiddleOverhang.FlavorDescription,Which way do you want to go?,
Knatte.ArcOverhang3x1.DisplayName,Metal Arc Overhang 3x1,
Knatte.ArcOverhang4x1.DisplayName,Metal Arc Overhang 4x1,
Knatte.ArcOverhang5x1.DisplayName,Metal Arc Overhang 5x1,
Knatte.ArcOverhang6x1.DisplayName,Metal Arc Overhang 6x1,
Knatte.ArcOverhang.Description,Overhang with pillar on each side,
Knatte.ArcOverhang.FlavorDescription,"""Look look an Arc"" - a Beaver kit",
Knatte.Aque_MetalBigPillarBase.DisplayName,Big Aqueduct Metal Pillar Base,
Knatte.Aque_MetalBigPillarMid.DisplayName,Big Aqueduct Metal Pillar Middle,
Knatte.Aque_MetalBigPillarTop.DisplayName,Big Aqueduct Metal Pillar Top,
Knatte.Aque_MetalBigPillar.Description,"Big metal pillar from old version of game split in multiple pieces so it can be built to any height
Top piece can have platforms and overhangs inside it",
Knatte.Aque_MetalBigPillar.FlavorDescription,"""This table looked smaller in the catalog."" —Ma' Ngonel",Base game text
Knatte.MetalBigPillarBase.DisplayName,Big Metal Pillar Base,
Knatte.MetalBigPillarMid.DisplayName,Big Metal Pillar Middle,
Knatte.MetalBigPillarTop.DisplayName,Big Metal Pillar Top,
Knatte.MetalBigPillar.Description,"Big metal pillar from old version of game split in multiple pieces so it can be built to any height
Top piece can have platforms and overhangs inside it",
Knatte.MetalBigPillar.FlavorDescription,"""This table looked smaller in the catalog."" —Ma' Ngonel",Base game text
