ID,Text,Comment
KnatteTobbert.Tunnel_1.DisplayName,Tunnel 1x1,-
KnatteTobbert.Tunnel_2.DisplayName,Tunnel 2x1,-
KnatteTobbert.Tunnel_3.DisplayName,Tunnel 3x1,-
KnatteTobbert.Tunnel_4.DisplayName,Tunnel 4x1,-
KnatteTobbert.Tunnel_5.DisplayName,Tunnel 5x1,-
KnatteTobbert.Tunnel_6.DisplayName,Tunnel 6x1,-
KnatteTobbert.Tunnel_7.DisplayName,Tunnel 7x1,-
KnatteTobbert.Tunnel_8.DisplayName,Tunnel 8x1,-
KnatteTobbert.Tunnel_9.DisplayName,Tunnel 9x1,-
KnatteTobbert.Tunnel_1L.DisplayName,Tunnel à travers Digue,-
KnatteTobbert.Tunnel_1L.Description,Autorise des castors a passer au travers des digues.,-
KnatteTobbert.Tunnel.Description,Autorise des castors a passer au travers des montagnes.,-
KnatteTobbert.Tunnel.FlavorDiscription,Savez-vous a quel point c'est difficile à modéliser et texturer ? - KnatteAnka,-
KnatteTobbert.CategoryTunnel.DisplayName,Tunnels,-
KnatteTobbert.CategoryTunnel.Description,Tunnels à travers les montagnes,-
KnatteTobbert.CategorySBridges.DisplayName,Ponts en métal,-
KnatteTobbert.CategorySBridges.Description,Bridge between Mountains, Not used atm
KnatteTobbert.CategorySuspensionBridges.DisplayName,Ponts suspendus,-
KnatteTobbert.Bridge_1.DisplayName,Pont en métal 1x1,-
KnatteTobbert.Bridge_2.DisplayName,Pont en métal 2x1,-
KnatteTobbert.Bridge_3.DisplayName,Pont en métal 3x1,-
KnatteTobbert.Bridge_4.DisplayName,Pont en métal 4x1,-
KnatteTobbert.Bridge_5.DisplayName,Pont en métal 5x1,-
KnatteTobbert.Bridge_6.DisplayName,Pont en métal 6x1,-
KnatteTobbert.Bridge_7.DisplayName,Pont en métal 7x1,-
KnatteTobbert.Bridge_8.DisplayName,Pont en métal 8x1,-
KnatteTobbert.Bridge_9.DisplayName,Pont en métal 9x1,-
KnatteTobbert.Bridge_10.DisplayName,Pont en métal 10x1,-
KnatteTobbert.Bridge.Description,"Autorise chemins, essieux et trains entre des montagnes.",-
KnatteTobbert.BridgeF.Description,"Autorise chemins, essieux et trains entre des montagnes.
Completez le pont avec à la fois un début et une fin.",-
KnatteTobbert.Bridge.FlavorDiscription,Choo Choo,-
Knatte.SmallGate.DisplayName,Petit passage,-
Knatte.SmallGate.Description,Équilibre les marchandises entre les deux districts connectés. Chaque côté dispose de ses propres ouvriers qui distribuent les marchandises entre le Petit passage et les reste du district.,-
Knatte.SmallGate.FlavorDescription,"Item de base retiré lors de la 4e mise à jour, désormais réutilisé.",-
Knatte.DecoSmallGate.DisplayName,Arche MàJ3,-
Knatte.DecoSmallGate.Description,Decoration Arche de la 3e mise à jour.,-
Knatte.MetalPillar.DisplayName,Piliers en métal,-
Knatte.MetalPillars.DisplayName,Piliers en métal avec renfort,-
Knatte.MetalPillar.Description,Laissez le monter.,-
Knatte.MetalPillar.FlavorDescription,"""Plantons les fondations !"" - Castor industrieux",-
Knatte.MetalPlatform.DisplayName,Plateforme en métal,-
Knatte.MetalPlatform.Description,Une plateforme avec 4 pieds.,-
Knatte.MetalPlatform.FlavorDescription,"""Cette table semblait plus petit dans le catalogue."" —Ma' Ngonel",Base gametext
Knatte.MetalPlatform5x3.DisplayName,Metal Platform 5x3,Untranslated
Knatte.MiddleOverhang3x1.DisplayName,Metal Middle Overhang 3x1,Untranslated
Knatte.MiddleOverhang4x1.DisplayName,Metal Middle Overhang 4x1,Untranslated
Knatte.MiddleOverhang5x1.DisplayName,Metal Middle Overhang 5x1,Untranslated
Knatte.MiddleOverhang7x1.DisplayName,Metal Middle Overhang 7x1,Untranslated
Knatte.MiddleOverhang.Description,"Overhang that goes at 2 directions
Gold marking is Pillar location",Untranslated
Knatte.MiddleOverhang.FlavorDescription,Which way do you want to go?,Untranslated
Knatte.ArcOverhang3x1.DisplayName,Metal Arc Overhang 3x1,Untranslated
Knatte.ArcOverhang4x1.DisplayName,Metal Arc Overhang 4x1,Untranslated
Knatte.ArcOverhang5x1.DisplayName,Metal Arc Overhang 5x1,Untranslated
Knatte.ArcOverhang6x1.DisplayName,Metal Arc Overhang 6x1,Untranslated
Knatte.ArcOverhang.Description,Overhang with pillar on each side,Untranslated
Knatte.ArcOverhang.FlavorDescription,"""Look look an Arc"" - a Beaver kit""",Untranslated
Knatte.Aque_MetalBigPillarTop.DisplayName,Big Aqueduct Metal Pillar Top,Untranslated
Knatte.Aque_MetalBigPillar.Description,"Big metal pillar from old version of game split in multiple pieces so it can be built to any height
Top piece can have platforms and overhangs inside it",Untranslated
Knatte.Aque_MetalBigPillar.FlavorDescription,"""This table looked smaller in the catalog."" —Ma' Ngonel",Base game text
Knatte.MetalBigPillarBase.DisplayName,Big Metal Pillar Base,Untranslated
Knatte.MetalBigPillarMid.DisplayName,Big Metal Pillar Middle,Untranslated
Knatte.MetalBigPillarTop.DisplayName,Big Metal Pillar Top,Untranslated
Knatte.MetalBigPillar.Description,"Big metal pillar from old version of game split in multiple pieces so it can be built to any height
Top piece can have platforms and overhangs inside it",Untranslated
Knatte.MetalBigPillar.FlavorDescription,"""This table looked smaller in the catalog."" —Ma' Ngonel",Base game text
