ID,Text,Comment
KnatteTobbert.Tunnel_1.DisplayName,トンネル 1x1,-
KnatteTobbert.Tunnel_2.DisplayName,トンネル 2x1,-
KnatteTobbert.Tunnel_3.DisplayName,トンネル 3x1,-
KnatteTobbert.Tunnel_4.DisplayName,トンネル 4x1,-
KnatteTobbert.Tunnel_5.DisplayName,トンネル 5x1,-
KnatteTobbert.Tunnel_6.DisplayName,トンネル 6x1,-
KnatteTobbert.Tunnel_7.DisplayName,トンネル 7x1,-
KnatteTobbert.Tunnel_8.DisplayName,トンネル 8x1,-
KnatteTobbert.Tunnel_9.DisplayName,トンネル 9x1,-
KnatteTobbert.Tunnel_1L.DisplayName,堤防用トンネル,-
KnatteTobbert.Tunnel_1L.Description,ビーバーが堤防を通り抜けられるようにする。,-
KnatteTobbert.Tunnel.Description,ビーバーが山を通り抜けられるようにする。,-
KnatteTobbert.Tunnel.FlavorDiscription,トンネルの水密性の高さは我々ビーバーの最高知能の結晶であり誇りである。,-ジョジョの奇妙な冒険
KnatteTobbert.CategoryTunnel.DisplayName,トンネル,-
KnatteTobbert.CategoryTunnel.Description,山を超えるトンネル。,-
KnatteTobbert.CategorySBridges.DisplayName,鉄橋,-
KnatteTobbert.CategorySBridges.Description,谷を渡る鉄橋。,未使用
KnatteTobbert.CategorySuspensionBridges.DisplayName,吊り橋,-
KnatteTobbert.Bridge_1.DisplayName,鉄橋 1x1,-
KnatteTobbert.Bridge_2.DisplayName,鉄橋 2x1,-
KnatteTobbert.Bridge_3.DisplayName,鉄橋 3x1,-
KnatteTobbert.Bridge_4.DisplayName,鉄橋 4x1,-
KnatteTobbert.Bridge_5.DisplayName,鉄橋 5x1,-
KnatteTobbert.Bridge_6.DisplayName,鉄橋 6x1,-
KnatteTobbert.Bridge_7.DisplayName,鉄橋 7x1,-
KnatteTobbert.Bridge_8.DisplayName,鉄橋 8x1,-
KnatteTobbert.Bridge_9.DisplayName,鉄橋 9x1,-
KnatteTobbert.Bridge_10.DisplayName,鉄橋 10x1,-
KnatteTobbert.Bridge.Description,谷を架け渡して道、シャフト、線路などを通す。,-
KnatteTobbert.BridgeF.Description,"谷を架け渡して道、シャフト、線路などを通す。
Complete bridge with both start and finish",-
KnatteTobbert.Bridge.FlavorDiscription,ポッポー！,-
Knatte.SmallGate.DisplayName,Small Gate,-
Knatte.SmallGate.Description,Balances goods between the two connected districts. Each side has one worker that distribute goods between the Small Gate and the rest of the district.,-
Knatte.SmallGate.FlavorDescription,Basegame item removed from update 4 is reused,-
Knatte.DecoSmallGate.DisplayName,Arcway U3,-
Knatte.DecoSmallGate.Description,Decoration Arcway from Update 3,-
Knatte.MetalPillar.DisplayName,Metal Pillar,-
Knatte.MetalPillars.DisplayName,Metal Pillar With Brace,-
Knatte.MetalPillar.Description,Let it Rise,-
Knatte.MetalPillar.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",-
Knatte.MetalPlatform.DisplayName,Metal Platform,-
Knatte.MetalPlatform.Description,A platform with 4 legs,-
Knatte.MetalPlatform.FlavorDescription,"""This table looked smaller in the catalog."" —Ma' Ngonel",Base game text
Knatte.MetalPlatform5x3.DisplayName,Metal Platform 5x3,Untranslated
Knatte.MiddleOverhang3x1.DisplayName,Metal Middle Overhang 3x1,Untranslated
Knatte.MiddleOverhang4x1.DisplayName,Metal Middle Overhang 4x1,Untranslated
Knatte.MiddleOverhang5x1.DisplayName,Metal Middle Overhang 5x1,Untranslated
Knatte.MiddleOverhang7x1.DisplayName,Metal Middle Overhang 7x1,Untranslated
Knatte.MiddleOverhang.Description,"Overhang that goes at 2 directions
Gold marking is Pillar location",Untranslated
Knatte.MiddleOverhang.FlavorDescription,Which way do you want to go?,Untranslated
Knatte.ArcOverhang3x1.DisplayName,Metal Arc Overhang 3x1,Untranslated
Knatte.ArcOverhang4x1.DisplayName,Metal Arc Overhang 4x1,Untranslated
Knatte.ArcOverhang5x1.DisplayName,Metal Arc Overhang 5x1,Untranslated
Knatte.ArcOverhang6x1.DisplayName,Metal Arc Overhang 6x1,Untranslated
Knatte.ArcOverhang.Description,Overhang with pillar on each side,Untranslated
Knatte.ArcOverhang.FlavorDescription,"""Look look an Arc"" - a Beaver kit""",Untranslated
Knatte.Aque_MetalBigPillarTop.DisplayName,Big Aqueduct Metal Pillar Top,Untranslated
Knatte.Aque_MetalBigPillar.Description,"Big metal pillar from old version of game split in multiple pieces so it can be built to any height
Top piece can have platforms and overhangs inside it",Untranslated
Knatte.Aque_MetalBigPillar.FlavorDescription,"""This table looked smaller in the catalog."" —Ma' Ngonel",Base game text
Knatte.MetalBigPillarBase.DisplayName,Big Metal Pillar Base,Untranslated
Knatte.MetalBigPillarMid.DisplayName,Big Metal Pillar Middle,Untranslated
Knatte.MetalBigPillarTop.DisplayName,Big Metal Pillar Top,Untranslated
Knatte.MetalBigPillar.Description,"Big metal pillar from old version of game split in multiple pieces so it can be built to any height
Top piece can have platforms and overhangs inside it",Untranslated
Knatte.MetalBigPillar.FlavorDescription,"""This table looked smaller in the catalog."" —Ma' Ngonel",Base game text
