ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,Metalltreppe,-
KnatteTobbert.MetalStaircase.Description,Eine bessere Treppe aus Metall.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,Hoffentlich rostet das nicht.,-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Metalltreppe,-
KnatteTobbert.Staircases.DisplayName,Treppen,-
KnatteTobbert.Platforms.DisplayName,Plattformen und Pfeiler,-
KnatteTobbert.SpiralStaircase.DisplayName,Wendeltreppe,-
KnatteTobbert.SpiralStaircase.FlavorDiscription,\u201EStairway to heaven\u201C \u2013 Stone Cold Jane Austen,
KnatteTobbert.StaircaseLog.DisplayName,Spindeltreppe,-
KnatteTobbert.StaircaseLog.FlavorDiscription,Das ist aber ein dicker Stamm in der Mitte.,-
Knatte.Pillar.DisplayName,Vierfachpfeiler,-
Knatte.Pillar.Description,Lass es höher werden.,-
Knatte.Pillar.FlavorDescription,\u201ELass uns einen Platz abstecken!\u201C \u2013 Fleißige Biber,
Knatte.Pillars.DisplayName,Vierfachpfeiler mit Strebe,-
Knatte.Pillars.Description,Lass es höher werden.,-
Knatte.Pillars.FlavorDescription,\u201ELass uns einen Platz abstecken!\u201C \u2013 Fleißige Biber,-
Knatte.Pillar_1.DisplayName,Pfeiler,-
Knatte.Pillar_2.DisplayName,Doppelpfeiler,-
Knatte.Pillar_3.DisplayName,Dreifachpfeiler,-
Knatte.Pillar_4.DisplayName,Vierfachpfeiler,
Knatte.Pillar_X.Description,"Pfeiler für individuelles Aussehen.
Kann mit Wendeltreppen kombiniert werden und macht diese stapelbar.",-
Knatte.Pillar_X.FlavorDescription,\u201ELass uns einen Platz abstecken!\u201C \u2013 Fleißige Biber,-
Knatte.StaircasePillar.DisplayName,Spindeltreppenpfeiler,-
Knatte.StaircasePillar.Description,Pfeiler zur Verwendung mit Spindeltreppen.,-
Knatte.StaircasePillar.FlavorDescription,\u201ELass uns einen Platz abstecken!\u201C \u2013 Fleißige Biber,-
Knatte.PillarTop.DisplayName,Pfeilerplattform,-
Knatte.PillarTop.Description,"Plattform für Pfeiler und Dekorationen.
Kann mit Spindel-/Wendeltreppen kombiniert werden und macht diese stapelbar.",-
Knatte.StaircasePlatform.DisplayName,Plattform 2x2,-
Knatte.StaircasePlatform.Description,Plattform mit dickem Pfeiler in der Mitte,-
Knatte.StaircasePlatform.FlavorDescription,\u201ELass uns einen Platz abstecken!\u201C \u2013 Fleißige Biber,-
Knatte.CategoryPaths2.DisplayName,Paths 2,
