ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,Metal Stairs,-
KnatteTobbert.MetalStaircase.Description,A better staircase in Metal.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,Hope it dont rust.,-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Metal Staircase,-
KnatteTobbert.MetalSpiralStaircase.DisplayName,Metal Spiral Staircase,
KnatteTobbert.MetalSpiralStaircase.Description,A better spiral staircase in Metal.,
KnatteTobbert.MetalSpiralStaircase.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",
KnatteTobbert.Staircases.DisplayName,Staircases,-
KnatteTobbert.Platforms.DisplayName,Platforms,-
KnatteTobbert.SpiralStaircase.DisplayName,Spiral Staircase,-
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",Untranslated
KnatteTobbert.StaircaseLog.DisplayName,Staircase,-
KnatteTobbert.StaircaseLog.FlavorDiscription,That is a big boi log in the middle.,-
Knatte.Pillar.DisplayName,Pillar,-
Knatte.Pillar.Description,Let it Rise,-
Knatte.Pillar.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",-
Knatte.Pillars.DisplayName,Pillars with Brace,-
Knatte.Pillars.Description,Let it Rise,-
Knatte.Pillars.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",-
Knatte.Pillar_1.DisplayName,1 Leg Pillar,-
Knatte.Pillar_2.DisplayName,2 Leg Pillar,-
Knatte.Pillar_3.DisplayName,3 Leg Pillar,-
Knatte.Pillar_4.DisplayName,4 Leg Pillar,Untranslated
Knatte.Pillar_X.Description,"Pillars to be able to get customized looks
Can be combined with Staircase to hide them but get stackable.",-
Knatte.Pillar_X.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",-
Knatte.StaircasePillar.DisplayName,Staircase Pillar,Untranslated
Knatte.StaircasePillar.Description,Pillars to be used with Staircase to get a nice Pillar.,-
Knatte.StaircasePillar.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",-
Knatte.PillarTop.DisplayName,Pillar Top,-
Knatte.PillarTop.Description,"Top part for Custom pillars or Decoration pieces
Can be combined with Staircase to hide them but get stackable.",-
Knatte.StaircasePlatform.DisplayName,Platform 2x2,Untranslated
Knatte.StaircasePlatform.Description,Platform with a big log in the middle,Untranslated
Knatte.StaircasePlatform.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",Untranslated
