ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,Escaliers en métal,-
KnatteTobbert.MetalStaircase.Description,Un meilleur escalier en métal.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,Hespérons qu'il ne rouille pas.,-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Escalier en métal,-
KnatteTobbert.Staircases.DisplayName,Escaliers,-
KnatteTobbert.Platforms.DisplayName,Plateforme,-
KnatteTobbert.SpiralStaircase.DisplayName,Escalier en spiral,-
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Escalier vers les cieux"" - Stone Cold Jane Austen",
KnatteTobbert.StaircaseLog.DisplayName,Escaliers,-
KnatteTobbert.StaircaseLog.FlavorDiscription,C'est un sacré rondin au centre.,-
Knatte.Pillar.DisplayName,Piliers,-
Knatte.Pillar.Description,Laissez le monter,-
Knatte.Pillar.FlavorDescription,"""Plantons les fondations !"" - Castor industrieux",
Knatte.Pillars.DisplayName,Piliers avec renfort,-
Knatte.Pillars.Description,Laissez le monter,-
Knatte.Pillars.FlavorDescription,"""Plantons les fondations !"" - Castor industrieux",-
Knatte.Pillar_1.DisplayName,Piliers à 1 pied,-
Knatte.Pillar_2.DisplayName,Piliers à 2 pieds,-
Knatte.Pillar_3.DisplayName,Piliers à 3 pieds,-
Knatte.Pillar_4.DisplayName,Piliers à 4 pieds,-
Knatte.Pillar_X.Description,"Piliers pour avoir un style personnalisé.
Peut-être combiné avec des Escaliers pour les cacher, tout en étant empilable.",-
Knatte.Pillar_X.FlavorDescription,"""Plantons les fondations !"" - Castor industrieux",-
Knatte.StaircasePillar.DisplayName,Pilier d'escalier,-
Knatte.StaircasePillar.Description,Piliers à utiliser avec des Escaliers pour obtenir un joli ensemble d'escalier.,-
Knatte.StaircasePillar.FlavorDescription,"""Plantons les fondations !"" - Castor industrieux",-
Knatte.PillarTop.DisplayName,Dessus de piliers,-
Knatte.PillarTop.Description,"Partie supérieure pour piliers personnalisés ou pièces de décoration
Peut être combiné avec des Escaliers pour les cacher, tout en étant empilable.",-
Knatte.StaircasePlatform.DisplayName,Plateforme 2x2,-
Knatte.StaircasePlatform.Description,Plateforme avec un gros rondin au milieu,-
Knatte.StaircasePlatform.FlavorDescription,"""Mettons-nous en place !"" - Castor industrieux",-
Knatte.CategoryPaths2.DisplayName,Paths 2,
