ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,金属製の階段,-
KnatteTobbert.MetalStaircase.Description,金属で作られた良い階段。,-
KnatteTobbert.MetalStaircase.FlavorDiscription,錆びなきゃ良いけど。,-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,金属製の階段,-
KnatteTobbert.Staircases.DisplayName,階段,-
KnatteTobbert.Platforms.DisplayName,Platforms,-
KnatteTobbert.SpiralStaircase.DisplayName,Spiral Staircase,-
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",Untranslated
KnatteTobbert.StaircaseLog.DisplayName,螺旋階段,-
KnatteTobbert.StaircaseLog.FlavorDiscription,真ん中の丸太がデカい。,-
Knatte.Pillar.DisplayName,柱,-
Knatte.Pillar.Description,ダムを盛り上げよう。,-
Knatte.Pillar.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",Untranslated
Knatte.Pillars.DisplayName,筋交い付きの柱,-
Knatte.Pillars.Description,ダムを盛り上げよう。,-
Knatte.Pillars.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",Untranslated
Knatte.Pillar_1.DisplayName,一本柱,-
Knatte.Pillar_2.DisplayName,ニ本柱,-
Knatte.Pillar_3.DisplayName,三本柱,三脚の柱も候補だったが、三脚から連想される形ではない。
Knatte.Pillar_4.DisplayName,4 Leg Pillar,Untranslated
Knatte.Pillar_X.Description,"柱を好きな見た目にカスタマイズできる。
螺旋階段と組み合わせれば、柱を隠しつつ螺旋階段を積み重ねることができる。",-
Knatte.Pillar_X.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",Untranslated
Knatte.StaircasePillar.DisplayName,らせん階段用の柱,-
Knatte.StaircasePillar.Description,らせん階段と組み合わせると見栄えが良くなる。,-
Knatte.StaircasePillar.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",Untranslated
Knatte.PillarTop.DisplayName,カスタム柱の足場,他候補:踊り場の足場
Knatte.PillarTop.Description,"カスタマイズした柱や飾り用の足場。
螺旋階段と組み合わせれば、柱を隠しつつ螺旋階段を積み重ねることができる。",-
Knatte.StaircasePlatform.DisplayName,足場 2x2,
Knatte.StaircasePlatform.Description,中心の大きな柱で支えている足場。,
Knatte.StaircasePlatform.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",Untranslated
Knatte.CategoryPaths2.DisplayName,Paths 2,
