ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,Металлическая лестница,-
KnatteTobbert.MetalStaircase.Description,Улучшенная лестница из металла.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,Надеюсь она из нержавейки.,-
KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Металлическая лестница,-
KnatteTobbert.Staircases.DisplayName,Лестницы,-
KnatteTobbert.Platforms.DisplayName,Platforms,-
KnatteTobbert.SpiralStaircase.DisplayName,Spiral Staircase Right,Untranslated
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",Untranslated
KnatteTobbert.StaircaseLog.DisplayName,винтовая лестница,-
KnatteTobbert.StaircaseLog.FlavorDiscription,"По легенде, именно такое бревно для центральной опоры помогал нести на субботнике сам Дедушка Казко",-
Knatte.Pillar.DisplayName,Столбы,-
Knatte.Pillar.Description,Отдельностоящая опора,-
Knatte.Pillar.FlavorDescription,«Застолбим местечко!» – трудолюбивый бобёр,-
Knatte.Pillars.DisplayName,Столбы с распорками,-
Knatte.Pillars.Description,Отдельностоящая опора,-
Knatte.Pillars.FlavorDescription,«Застолбим местечко!» – трудолюбивый бобёр,-
Knatte.Pillar_1.DisplayName,Один столб,-
Knatte.Pillar_2.DisplayName,Два столба,-
Knatte.Pillar_3.DisplayName,Три столба,-
Knatte.Pillar_4.DisplayName,4 Leg Pillar,Untranslated
Knatte.Pillar_X.Description,"Несущая конструкция для сложных индивидуальных архитектурных проектов.
Может служить скрытой опорой для винтовой лестницы.",-
Knatte.Pillar_X.FlavorDescription,«Застолбим местечко!» – трудолюбивый бобёр,-
Knatte.StaircasePillar.DisplayName,Staircase Pillar,Untranslated
Knatte.StaircasePillar.Description,Pillars to be used with Staircase to get a nice Pillar.,Untranslated
Knatte.StaircasePillar.FlavorDescription,,Untranslated
Knatte.PillarTop.DisplayName,Перекрытие,-
Knatte.PillarTop.Description,"Перекрытие для размещения на столбах.
Может служить скрытой опорой для винтовой лестницы.",-
Knatte.StaircasePlatform.DisplayName,Platform 2x2,Untranslated
Knatte.StaircasePlatform.Description,Platform with a big log in the middle,Untranslated
Knatte.StaircasePlatform.FlavorDescription,"""Let's stake a spot!"" - Industrious beaver",Untranslated
