ID,Text,Comment
KnatteTobbert.MetalStaircase.DisplayName,Schody metalowe,-
KnatteTobbert.MetalStaircase.Description,Lepsze schody z Metalu.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,Mam nadzieję że nie zardzewieją.,-

KnatteTobbert.Staircases.DisplayName,Schody,-
KnatteTobbert.Platforms.DisplayName,Platforms,-

KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Schody metalowe,-

KnatteTobbert.SpiralStaircase.DisplayName,Spiral Staircase,Untranslated
KnatteTobbert.SpiralStaircase.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",Untranslated

KnatteTobbert.StaircaseLog.DisplayName,Schody prawe,-
KnatteTobbert.StaircaseLog.FlavorDiscription,To jest wielka kłoda w środku.,-





KnatteTobbert.StaircaseRight.DisplayName,Schody prawe,-
KnatteTobbert.StaircaseRight.Description,Schody które prowadzą w prawo\r\n(Idąc w górę zgodnie z ruchem wskazówek zegara).,-
KnatteTobbert.StaircaseRight.FlavorDiscription,To jest wielka kłoda w środku.,-

KnatteTobbert.StaircaseLeft.DisplayName,Schody lewe,-
KnatteTobbert.StaircaseLeft.Description,Schody które prowadzą w lewo.\r\n(Idąc w górę w kierunku przeciwnym do ruchu wskazówek zegara),-
KnatteTobbert.StaircaseLeft.FlavorDiscription,To jest wielka kłoda w środku.,-



KnatteTobbert.SpiralStaircaseLeft.DisplayName,Spiral Staircase Left,Untranslated
KnatteTobbert.SpiralStaircaseRight.DisplayName,Spiral Staircase Right,Untranslated

KnatteTobbert.SpiralStaircaseLeft.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",Untranslated
KnatteTobbert.SpiralStaircaseRight.FlavorDiscription,"""Stairway to heaven"" - Stone Cold Jane Austen",Untranslated
