ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,Bewässerung mit Baumwachstumsförderung,
Knatte.WE_IrrigationFuel.DisplayName,Bewässerung,
Knatte.IrrigationTower.DisplayName,Bewässerungsturm,-
Knatte.IrrigationTower.Description,"Bewässert umliegende Fläche.
Verbraucht kein Wasser für Flächen, die nicht bewässert werden können.",
Knatte.IrrigationTower.Header,Irrigation Mode:,untranslated
Knatte.IrrigationTower.FlavorDescription,"Da weniger als ein Drittel der Erde mit Wasser bedeckt ist, wurde die Bewässerung zu einem Muss.","Das Spiel findet auf der Erde statt, die sich in ein trockenes Ödland verwandelt hat."
Knatte.IrrigationTowerV2_FT.DisplayName,Effizienter Bewässerungsturm,-
Knatte.IrrigationTowerV2_FT.Description,"Bewässert mehr umliegende Fläche und kann das Wachstum von Bäumen mit Extrakt fördern.
Verbraucht kein Wasser für Flächen, die nicht bewässert werden können.",
Knatte.IrrigationTowerV2_IT.DisplayName,Energiebetriebener Bewässerungsturm,-
Knatte.IrrigationTowerV2_IT.Description,"Bewässert umliegende Fläche, ohne dass ein Arbeiter benötigt wird. Für mehr Wasserverbrauch stoppt es auch Kontaminierung.
Verbraucht kein Wasser für Flächen, die nicht bewässert werden können.",
Knatte.IrrigationTowerV2.FlavorDescription,"Da weniger als ein Drittel der Erde mit Wasser bedeckt ist, wurde die Bewässerung zu einem Muss.","Das Spiel findet auf der Erde statt, die sich in ein trockenes Ödland verwandelt hat."
Knatte.BigIrrigationTower.DisplayName,Großer Bewässerungsturm,-
Knatte.BigIrrigationTowerIT.Description,"Bewässert noch mehr umliegende Fläche mit noch weniger Wasser. 
Blaues Rohr zeigt den Startpunkt der Bewässerung an.
Verbraucht kein Wasser für Flächen, die nicht bewässert werden können.",
Knatte.BigIrrigationTowerFT.Description,"Bewässert noch mehr umliegende Fläche mit noch weniger Wasser. 
Gelbes Rohr zeigt den Startpunkt der Bewässerung an.
Verbraucht kein Wasser für Flächen, die nicht bewässert werden können.",
Knatte.BigIrrigationTower.FlavorDescription,"Tropf, tropf, Wassertropfen.",-
Knatte.IndWaterTank.DisplayName,Industrieller Wassertank,-
Knatte.IndWaterTank.Description,"Enthält mehr Wasser und ist stapelbar, erfordert aber Metall.",-
Knatte.Pipe5X.DisplayName,Rohrleitung 5x,-
Knatte.Pipe10X.DisplayName,Rohrleitung 10x,-
Knatte.Pipe15X.DisplayName,Rohrleitung 15x,-
Knatte.Pipe.Description,"Zwei Deiche auf beiden Seiten der Rohrleitung und ein Eingangs- und Ausgangsrohr. Einer der Deiche muss mit Energie versorgt werden, diese wird aber weitergeleitet.
Das Platzieren von Deichen direkt über Ausgangsrohren führt zum Spielabsturz!",-
Knatte.PipeU5X.DisplayName,"Unterirdische Rohrleitung
5x",-
Knatte.PipeU10X.DisplayName,"Unterirdische Rohrleitung
10x",-
Knatte.PipeU15X.DisplayName,"Unterirdische Rohrleitung
15x",-
Knatte.PipeU.Description,"Zwei Deiche auf beiden Seiten der unterirdischen Rohrleitung und ein Eingangs- und Ausgangsrohr. Einer der Deiche muss mit Energie versorgt werden, diese wird aber weitergeleitet.
Das Platzieren von Deichen direkt über Ausgangsrohren führt zum Spielabsturz!",-
Knatte.CategoryPipe.DisplayName,Rohrleitungen,-
Knatte.CategoryPipe.Description,Rohrleitungen die oberirdisch verlegt werden.,-
Knatte.CategoryPipeU.DisplayName,Unterirdische Rohrleitungen,-
Knatte.CategoryPipeU.Description,Rohrleitungen die unterirdisch verlegt werden.,-
Knatte.CategoryHideWE.DisplayName,Unbenutztes Water Extention,-
Knatte.Pipe1X.DisplayName,Rohrleitung 1x,-
Knatte.Pipe1X.Description,"Zwei Deiche mit einem Eingangs-/Ausgangsrohr. Einer der Deiche muss mit Energie versorgt werden, diese wird aber weitergeleitet.
Das Platzieren von Deichen direkt über Ausgangsrohren führt zum Spielabsturz!",-
