ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,Irrigation With Tree boost,
Knatte.WE_IrrigationFuel.DisplayName,Irrigation,
Knatte.IrrigationTower.DisplayName,Irrigation Tower,-
Knatte.IrrigationTower.Description,"Irrigates land around it.
Does not use water for tiles that it can't Irrigate",
Knatte.IrrigationTower.Header,Irrigation Mode:,
Knatte.IrrigationTower.FlavorDescription,"With less than a third of Earth covered in water, irrigation became a must.",The game is set on Earth turned into a dry wasteland.
Knatte.IrrigationTowerV2_FT.DisplayName,Efficient Irrigation Tower,-
Knatte.IrrigationTowerV2_FT.Description,"Irrigates More land around it and can boost tree growth with extract.
Does not use water for tiles that it can't Irrigate",
Knatte.IrrigationTowerV2_IT.DisplayName,Powered Irrigation Tower,-
Knatte.IrrigationTowerV2_IT.Description,"Irrigates around it without any worker needed. For more Water usage it also blocks contamination.
Does not use water for tiles that it can't Irrigate",
Knatte.IrrigationTowerV2.FlavorDescription,"With less than a third of Earth covered in water, irrigation became a must.",The game is set on Earth turned into a dry wasteland.
Knatte.BigIrrigationTower.DisplayName,Big Irrigation Tower,-
Knatte.BigIrrigationTowerIT.Description,"Irrigates even More land around it for less Water. 
Blue Pipe indicate starting point of irrigation.
Does not use water for tiles that it cant Irrigate",
Knatte.BigIrrigationTowerFT.Description,"Irrigates even More land around it for less Water. 
Yellow Pipe indicate starting point of irrigation.
Does not use water for tiles that it cant Irrigate",
Knatte.BigIrrigationTower.FlavorDescription,Drip Drip Drop.,
Knatte.IndWaterTank.DisplayName,Industrial Water Tank,-
Knatte.IndWaterTank.Description,Holds more water and is Stackable but requires metal,-
Knatte.Pipe5X.DisplayName,Pipe 5 Long,-
Knatte.Pipe10X.DisplayName,Pipe 10 Long,-
Knatte.Pipe15X.DisplayName,Pipe 15 Long,-
Knatte.Pipe.Description,"Levees on both sides of the pipe and a input and output pipe. Leeve need to be powered but also act as transfer
Do not place Levees in hex above the Output Pipe! it will crash!",-
Knatte.PipeU5X.DisplayName,Pipe Underground 5 Long,-
Knatte.PipeU10X.DisplayName,Pipe Underground 10 Long,-
Knatte.PipeU15X.DisplayName,Pipe Underground 15 Long,-
Knatte.PipeU.Description,"Levees on both sides of the pipe and a input and output pipe.
Pipe going underground between Levees
Leeve need to be powered but also act as transfer
Do not place Levees in hex above the Output Pipe! it will crash!",-
Knatte.CategoryPipe.DisplayName,Straight Pipes,-
Knatte.CategoryPipe.Description,Pipes that go overground,-
Knatte.CategoryPipeU.DisplayName,Underground Pipes,-
Knatte.CategoryPipeU.Description,Pipes that need to go underground at the bend,-
Knatte.CategoryHideWE.DisplayName,Unused Water Extention,-
Knatte.Pipe1X.DisplayName,Pipe Outlet,-
Knatte.Pipe1X.Description,"Two Levees and a input and output pipe. Leeve need to be powered but also act as transfer
Do not place Levees in hex above the Output Pipe! it will crash!",-
Knatte.PowerLevee.DisplayName,Powered Leeve,-
Knatte.PowerLevee.Description,"Levee that has shaft in it to power pumps.
Both Horizontal and vertical",-
Knatte.DeepSeaPump.DisplayName,DeepSea Water Pump,-
Knatte.DeepSeaPump.Description,Pump for the bottom of the Sea,-
Knatte.DeepSeaPump.FlavorDescription,A gulp of fresh water is enough to pump you up.,"""Pump"" pun, feel free to adapt."
Knatte.UPowerLevee.DisplayName,Universal Powered Leeve,-
Knatte.UPowerLevee.Description,"Levee that has shaft in it to power pumps.
Connected to all sides",-
Knatte.PipeH1X.DisplayName,Pipe Outlet (H),-
Knatte.PipeH1X.Description,"High Volume Pump Two Levees and a input and output pipe.
Leeve need to be powered but also act as transfer",-
Knatte.LargeWaterWheelLevee.DisplayName,Large Water Wheel with Levee,-
Knatte.LargeWaterWheelLevee.Description,Water wheel that also has a sloped Levee to help keep water inside channels and not overspill,-
Knatte.PipeHU5X.DisplayName,Pipe Underground 5 Long (H),-
Knatte.PipeHU10X.DisplayName,Pipe Underground 10 Long (H),-
Knatte.PipeHU15X.DisplayName,Pipe Underground 15 Long (H),-
Knatte.PipeHU.Description,"High Power version with a Levees on both sides of the pipe and a input and output pipe.
Pipe going underground between Levees
Leeve need to be powered but also act as transfer
Do not place Levees in hex above the Output Pipe! it will crash!",-
Knatte.Valve1X.DisplayName,OneWay Valve,
Knatte.Valve1X.Description,"Oneway Valve with levee in the middle
No power needed and does not transfer
1.5cms max flow",
Knatte.ValveH1X.DisplayName,OneWay Valve (H),
Knatte.ValveH1X.Description,"High Volume Oneway Valve with levee in the middle
No power needed and does not transfer",
Knatte.Aqueduct_S_1X.DisplayName,Aqueduct,-
Knatte.Aqueduct_S_5X.DisplayName,Aqueduct 5 Long,-
Knatte.Aqueduct_S.Description,Aqueduct with wall on one side. Also Stops water at the bottom.,-
Knatte.Aqueduct_S.FlavorDescription,To be filled,-
Knatte.Aqueduct_P_1X.DisplayName,Aqueduct 1x1,-
Knatte.Aqueduct_P_5X.DisplayName,Aqueduct 1x5 Long,-
Knatte.Aqueduct_P.Description,Aqueduct with wall on Both sides. Also Stops water at the bottom.,-
Knatte.Aqueduct_P.FlavorDescription,To be filled,-
Knatte.Aqueduct_Corner.DisplayName,Aqueduct Corner,-
Knatte.Aqueduct_Corner.Description,Aqueduct with wall on two sides to create a corner. Also Stops water at the bottom.,-
Knatte.Aqueduct_Corner.FlavorDescription,Water GO left,-
Knatte.Aqueduct_Lid_1X.DisplayName,Aqueduct Lid,-
Knatte.Aqueduct_Lid_5X.DisplayName,Aqueduct Lid 5 Long,-
Knatte.Aqueduct_Lid.Description,Adds a lid that block water from ecaping,-
Knatte.Aqueduct_Lid.FlavorDescription,Is it a Pipe yet,-
Knatte.Aqueduct_Wall.DisplayName,Aqueduct Wall Dummy,-
