ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,Irrigation With Tree boost,
Knatte.WE_IrrigationFuel.DisplayName,Irrigation,
Knatte.IrrigationTower.DisplayName,Irrigation Tower,-
Knatte.IrrigationTower.Description,"Irrigates land around it.
Does not use water for tiles that it can't Irrigate",
Knatte.IrrigationTower.FlavorDescription,"With less than a third of Earth covered in water, irrigation became a must.",The game is set on Earth turned into a dry wasteland.
Knatte.IrrigationTowerV2_FT.DisplayName,Efficient Irrigation Tower,-
Knatte.IrrigationTowerV2_FT.Description,"Irrigates More land around it and can boost tree growth with extract.
Does not use water for tiles that it can't Irrigate",
Knatte.IrrigationTowerV2_IT.DisplayName,Powered Irrigation Tower,-
Knatte.IrrigationTowerV2_IT.Description,"Irrigates around it without any worker needed. For more Water usage it also blocks contamination.
Does not use water for tiles that it can't Irrigate",
Knatte.IrrigationTowerV2.FlavorDescription,"With less than a third of Earth covered in water, irrigation became a must.",The game is set on Earth turned into a dry wasteland.
Knatte.BigIrrigationTower.DisplayName,Big Irrigation Tower,-
Knatte.BigIrrigationTowerIT.Description,"Irrigates even More land around it for less Water. 
Blue Pipe indicate starting point of irrigation.
Does not use water for tiles that it cant Irrigate",
Knatte.BigIrrigationTowerFT.Description,"Irrigates even More land around it for less Water. 
Yellow Pipe indicate starting point of irrigation.
Does not use water for tiles that it cant Irrigate",
Knatte.BigIrrigationTower.FlavorDescription,Drip Drip Drop.,
Knatte.IndWaterTank.DisplayName,Промышленный резервуар,-
Knatte.IndWaterTank.Description,"Здесь можно хранить много питьевой воды, а ещё построить что-нибудь сверху.",-
Knatte.Pipe5X.DisplayName,Труба длинной 5,Я использую слово дамба для levee и плотина для dam. На трекере игры объяснял почему.
Knatte.Pipe10X.DisplayName,Труба длинной 10,-
Knatte.Pipe15X.DisplayName,Труба длинной 15,-
Knatte.Pipe.Description,"Труба с дамбами с обеих сторон и встроенным насосом.\nНасосу нужно подключение к энергосети.
Do not place Levees in hex above the Output Pipe! it will crash!",-
Knatte.PipeU5X.DisplayName,Подземная труба длинной 5,-
Knatte.PipeU10X.DisplayName,Подземная труба длинной 10,-
Knatte.PipeU15X.DisplayName,Подземная труба длинной 15,-
Knatte.PipeU.Description,"Труба с дамбами с обеих сторон и встроенным насосом, проложенная под землёй в середине.\nНасосу нужно подключение к энергосети.
Do not place Levees in hex above the Output Pipe! it will crash!",-
Knatte.CategoryPipe.DisplayName,Прямые трубы,-
Knatte.CategoryPipe.Description,Трубы надземной прокладки.,-
Knatte.CategoryPipeU.DisplayName,Подземные трубы,-
Knatte.CategoryPipeU.Description,Трубы подземной прокладки.,-
Knatte.CategoryHideWE.DisplayName,Unused Water Extention,-
Knatte.Pipe1X.DisplayName,Насос с выводом,-
Knatte.Pipe1X.Description,"Двойная дамба с насосом и выводом трубы с другой стороны.\nНасосу нужно подключение к энергосети.
Do not place Levees in hex above the Output Pipe! it will crash!",-
Knatte.PowerLevee.DisplayName,Дамба с силовой передачей,-
Knatte.PowerLevee.Description,Дамба со встроенным силовым валом для подключения насосов.\nПередаёт энергию вертикально и горизонтально.,-
Knatte.DeepSeaPump.DisplayName,Глубинный насос,
Knatte.DeepSeaPump.Description,Насос для размещения на дне водоёма.,
Knatte.DeepSeaPump.FlavorDescription,Водичка со дна - закачаешься!,"""Pump"" pun, feel free to adapt."
Knatte.UPowerLevee.DisplayName,Universal Powered Leeve,-                    Untranslated
Knatte.UPowerLevee.Description,"Levee that has shaft in it to power pumps.
Connected to all sides",-                    Untranslated
Knatte.PipeH1X.DisplayName,Pipe Outlet (H),-                    Untranslated
Knatte.PipeH1X.Description,"High Volume Pump Two Levees and a input and output pipe.
Leeve need to be powered but also act as transfer
Do not place Levees in hex above the Output Pipe! it will crash!",-                    Untranslated
Knatte.LargeWaterWheelLevee.DisplayName,Large Water Wheel with Levee,-                    Untranslated
Knatte.LargeWaterWheelLevee.Description,Water wheel that also has a sloped Levee to help keep water inside channels and not overspill,-                    Untranslated
Knatte.PipeHU5X.DisplayName,Pipe Underground 5 Long (H),-                    Untranslated
Knatte.PipeHU10X.DisplayName,Pipe Underground 10 Long (H),-                    Untranslated
Knatte.PipeHU15X.DisplayName,Pipe Underground 15 Long (H),-                    Untranslated
Knatte.PipeHU.Description,"High Power version with a Levees on both sides of the pipe and a input and output pipe.
Pipe going underground between Levees
Leeve need to be powered but also act as transfer
Do not place Levees in hex above the Output Pipe! it will crash!",-                    Untranslated
Knatte.Valve1X.DisplayName,OneWay Valve,
Knatte.Valve1X.Description,"Oneway Valve with levee in the middle
No power needed and does not transfer
1.5cms max flow",
Knatte.ValveH1X.DisplayName,OneWay Valve (H),
Knatte.ValveH1X.Description,"High Volume Oneway Valve with levee in the middle
No power needed and does not transfer",
Knatte.Aqueduct_S_1X.DisplayName,Aqueduct,-                    Untranslated
Knatte.Aqueduct_S_5X.DisplayName,Aqueduct 5 Long,-                    Untranslated
Knatte.Aqueduct_S.Description,Aqueduct with wall on one side. Also Stops water at the bottom.,-                    Untranslated
Knatte.Aqueduct_S.FlavorDescription,To be filled,-                    Untranslated
Knatte.Aqueduct_P_1X.DisplayName,Aqueduct 1x1,-                    Untranslated
Knatte.Aqueduct_P_5X.DisplayName,Aqueduct 1x5 Long,-                    Untranslated
Knatte.Aqueduct_P.Description,Aqueduct with wall on Both sides. Also Stops water at the bottom.,-                    Untranslated
Knatte.Aqueduct_P.FlavorDescription,To be filled,-                    Untranslated
Knatte.Aqueduct_Corner.DisplayName,Aqueduct Corner,-                    Untranslated
Knatte.Aqueduct_Corner.Description,Aqueduct with wall on two sides to create a corner. Also Stops water at the bottom.,-                    Untranslated
Knatte.Aqueduct_Corner.FlavorDescription,Water GO left,-                    Untranslated
