ID,Text,Comment
Knatte.WE_IrrigationExtractFuel.DisplayName,Irrigation With Tree boost,
Knatte.WE_IrrigationFuel.DisplayName,Irrigation,
Knatte.IrrigationTower.DisplayName,Irrigation Tower,-
Knatte.IrrigationTower.Description,"Irrigates land around it.",
Knatte.IrrigationTower.Header,Irrigation Mode:,untranslated
Knatte.IrrigationTower.FlavorDescription,"With less than a third of Earth covered in water, irrigation became a must.",The game is set on Earth turned into a dry wasteland.
Knatte.IrrigationTowerV2_FT.DisplayName,Efficient Irrigation Tower,-
Knatte.IrrigationTowerV2_FT.Description,"Irrigates more land around it and can boost tree and plant growth with extract.",
Knatte.IrrigationTowerV2_IT.DisplayName,Powered Irrigation Tower,-
Knatte.IrrigationTowerV2_IT.Description,"Irrigates land around it without workers and can block contamination.",
Knatte.IrrigationTowerV2.FlavorDescription,"With less than a third of Earth covered in water, irrigation became a must.",The game is set on Earth turned into a dry wasteland.
Knatte.BigIrrigationTower.DisplayName,Big Irrigation Tower,-
Knatte.BigIrrigationTowerIT.Description,"Irrigates even more land around it with less water.
Pipes are the starting point of irrigation.",
Knatte.BigIrrigationTowerFT.Description,"Irrigates even more land around it with less water.
Pipes are the starting point of irrigation.",
Knatte.BigIrrigationTower.FlavorDescription,あぶくたった　煮えたった　トントントン\n何の音？　水が滴り落ちる音！,-原文の「Drip Drip Drop」はハンカチ落としに似た海外の遊びで、ハンカチを落とす代わりに水を頭にかける。
