ID,Text,Comment
KnatteTobbert.RE_Tunnel_1.DisplayName,Tunnel With Track 1x1
KnatteTobbert.RE_Tunnel_2.DisplayName,Tunnel With Track 2x1
KnatteTobbert.RE_Tunnel_3.DisplayName,Tunnel With Track 3x1
KnatteTobbert.RE_Tunnel_4.DisplayName,Tunnel With Track 4x1
KnatteTobbert.RE_Tunnel_5.DisplayName,Tunnel With Track 5x1
KnatteTobbert.RE_Tunnel_6.DisplayName,Tunnel With Track 6x1
KnatteTobbert.RE_Tunnel_7.DisplayName,Tunnel With Track 7x1
KnatteTobbert.RE_Tunnel_8.DisplayName,Tunnel With Track 8x1
KnatteTobbert.RE_Tunnel_9.DisplayName,Tunnel With Track 9x1

KnatteTobbert.RE_Tunnel_1L.DisplayName,Tunnel With Track Thrue Levee
KnatteTobbert.RE_Tunnel_1L.Description,Allows train to pass through Levees.
KnatteTobbert.RE_Tunnel_1L.FlavorDiscription,"Wait, it has to be safe?"

KnatteTobbert.RE_Tunnel.Description,Allows train to pass through mountains.
KnatteTobbert.RE_Tunnel.FlavorDiscription,Do you know how hard it is to Model and Texture?

KnatteTobbert.RE_CategoryTunnel.DisplayName,Tunnels with Tracks
KnatteTobbert.RE_CategoryTunnel.Description,Tunnels Past the Mountains

KnatteTobbert.RE_CategorySBridges.DisplayName,Steel Bridges With Track
KnatteTobbert.RE_CategorySBridges.Description,Bridge between Mountains, Not used atm

KnatteTobbert.RE_Bridge_1.DisplayName,Steel Bridge With Track 1x1
KnatteTobbert.RE_Bridge_2.DisplayName,Steel Bridge With Track 2x1
KnatteTobbert.RE_Bridge_3.DisplayName,Steel Bridge With Track 3x1
KnatteTobbert.RE_Bridge_4.DisplayName,Steel Bridge With Track 4x1
KnatteTobbert.RE_Bridge_5.DisplayName,Steel Bridge With Track 5x1
KnatteTobbert.RE_Bridge_6.DisplayName,Steel Bridge With Track 6x1
KnatteTobbert.RE_Bridge_7.DisplayName,Steel Bridge With Track 7x1
KnatteTobbert.RE_Bridge_8.DisplayName,Steel Bridge With Track 8x1
KnatteTobbert.RE_Bridge_9.DisplayName,Steel Bridge With Track 9x1
KnatteTobbert.RE_Bridge_10.DisplayName,Steel Bridge With Track 10x1

KnatteTobbert.RE_Bridge.Description,"Allows Track between mountains"
KnatteTobbert.RE_BridgeF.Description,"Allows Track between mountains
Complete bridge with both start and finish"
KnatteTobbert.RE_Bridge.FlavorDiscription,"Choo Choo"
